,Sample name,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_1,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_2,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3,20210304_CE_45min_RayN331Q_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Name,
30632,,,,,1531000,1531000,,,,,,,,,,,1347300,,,,,,,,,,1368720,,,,,
30629,,,,,,,,,,,,,,,,,,,,,,,,,,1972730,,,,,,
30628,,,,,,,,,,,,,,,,1943920,,,,,,,,,,,,,,,,
30627,,,,1781400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30626,,,2804320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30625,,439551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30624,,,,,,,,,,,,,,,2290970,,,,,,,,,,,,,,,,,
30618,,,,,,,,,,,,,,955486,,,,,,,,,,,,,,,,,,
30617,,,,,,,,,,,,,,,,,,,,,,,,,3301970,,,,,,,
30616,,,,,,,,,,,,,,,,,,,,277009,247894,,,,,,,,474533,,,226550
30614,,,,,,,,,,,,,,,,,,,,,,,141230,,,,,,,,313916,
30595,,2545580,,,,,,,,,,,,4794390,,,,,,,,,,8657610,5263570,,,,,,,
30594,,,3582030,,,,,,,,,,,,4353680,1619940,,,,,,,,,,1992190,,,,,,
30593,,,,1516850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,562021,
30581,,,,,,,,,,,,,,,,,,,,,,474292,348405,,,,,,,,,448864
30580,,,,,,,,,,,,,,,,,,,,667184,597112,,,,,,,,1001050,735083,,
30579,,,,,,,,,,,,319628,302790,,,,,,922049,,,,,,,,,1410730,,,,
30578,,,,,,,1257650,1257650,918069,668812,391043,,,,,,,1377880,,,,,,,,,,,,,,
30577,,,,,1509720,1509720,,,,,,,,,,,1705320,,,,,,,,,,1814440,,,,,
30576,,,,,,,,,,,,,,,,1338010,,,,,,,,,,1837050,,,,,,
30558,,,,,,,,,,,,,,,,,,,,,,,,,,1137860,,,,,,
30557,,,,961331,,,,,,,,,,,,1035110,,,,,,,,,,,,,,,,
30554,,,2255310,,,,,,,,,,,,2895810,,,,,,,,,,2897120,,,,,,,
30553,,,,,,,,,,,,,,,,,,,,,,,,4629910,,,,,,,,
30552,,1620390,,,,,,,,,,,,2797490,,,,,,,,,,,,,,,,,,
30541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1548770
30540,,,,,,,,,,,1248900,1063050,902356,,,,,,,1776050,1592800,1273440,1042550,,,,,,,,1869680,
30539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2213130,2017070,,
30538,,,,,,,,,,1639810,,,,,,,,,,,,,,,,,,,,,,
30537,,,,,,,,,2020110,,,,,,,,,,2109080,,,,,,,,,2951660,,,,
30536,,,,,,,3006060,3006060,,,,,,,,,,2864440,,,,,,,,,,,,,,
30534,,,,,4125830,4125830,,,,,,,,,,,3843380,,,,,,,,,,3932490,,,,,
30532,,,,,,,,,,,,,,,,,,,,,,,,,,5637950,,,,,,
30531,,,,5549450,,,,,,,,,,,,5292740,,,,,,,,,,,,,,,,
30529,,1748020,8917580,,,,,,,,,,,3115810,9312290,,,,,,,,,5275640,9441040,,,,,,,
30510,,611140,,,,,,,,,,,,983741,,,,,,,,,,,,,,,,,,
30496,,,,,,,,,,,,292479,,,,,,,,,529669,334848,,,,,,,,509226,,343469
30495,,,,,,,,,1063910,,405127,,262996,,,,,,1061760,,,,302284,,,,,1365080,834592,,398260,
30494,,,,,2134790,2134790,1732560,1732560,,650519,,,,,,,1816500,,,628036,,,,,,,,,,,,
30492,,,,,,,,,,,,,,,,2732550,,,,,,,,,,,,,,,,
30491,,,,2649800,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30489,,,4261730,,,,,,,,,,,1644600,4170390,,,,,,,,,,4145390,,,,,,,
30488,,1135430,,,,,,,,,,,,,,,,,,,,,,2726020,,,,,,,,
30479,,,,,,,,,,,,,,,,,,,,,,,,,,3224460,,,,,,
30478,,,,,,,1346480,1346480,770832,,,,,,,,2340340,1719140,1006520,723113,,401948,,,,,3345930,2105510,1448510,956702,623607,420424
30477,,,,,,,,,,560352,,265409,,,,,,,,,499369,,245826,,,,,,,,,
30476,,,,,,,,,,,353216,,215671,,,,,,,,,,,,,,,,,,,
30469,,,,,,,,,,,,,,,,,,,,,,,,1171730,,,,,,,,
30465,,,1363410,,,,,,,,,,,,1675030,,,,,,,,,,2174430,,,,,,,
30464,,,,1241110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30463,,,,,,,,,,,,,,,,1330820,,,,,,,,,,,,,,,,
30437,,,,,,,,,,,,,,,,,,,3264500,2026790,,1031290,698975,,,,,6128880,3827280,2198520,1737580,
30436,,,,,,,4363490,4363490,2569490,1564520,1150650,848171,592230,,,,,5137870,,,1456410,,,,,,9477900,,,,,1226240
30435,,,,,7087760,7087760,,,,,,,,,,,8117390,,,,,,,,,14286700,,,,,,
30433,,,,,,,,,,,,,,,,13818600,,,,,,,,,,,,,,,,
30432,,,,13507900,,,,,,,,,,11781300,,,,,,,,,,18359000,26185300,,,,,,,
30431,,6478460,26608300,,,,,,,,,,,,27949100,,,,,,,,,,,,,,,,,
30397,,,,,,,,,,,804952,572798,,,,,,,,,,,585012,,,,,,,,1279590,872021
30396,,,,,,,3183420,3183420,1867740,1115190,,,449002,,,,,3632500,2511330,1334810,1046030,730075,,,,,6258300,4345490,2635930,1657560,,
30395,,,,,4659370,4659370,,,,,,,,,,,5372950,,,,,,,,,,,,,,,
30394,,,,,,,,,,,,,,,,,,,,,,,,,,8455190,,,,,,
30393,,,,,,,,,,,,,,,,7032960,,,,,,,,,,,,,,,,
30392,,,,6242180,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30391,,,10979600,,,,,,,,,,,5200970,11435200,,,,,,,,,,11685900,,,,,,,
30390,,2788940,,,,,,,,,,,,,,,,,,,,,,8194460,,,,,,,,
30370,,,,,,,,,,,,,160822,,,,,,,475255,,276197,,,,,,,,510520,428755,362411
30369,,,,,,,,,,,304903,254000,,,,,,,665111,,382484,,257025,,,,,,715856,,,
30368,,,,,,,,,528510,392175,,,,,,,,,,,,,,,,,,,,,,
30367,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045290,,,,
30366,,,1803120,2875470,,,933935,933935,,,,,,,2402280,2611210,1470230,936337,,,,,,1548130,2712570,2421320,1337850,,,,,
30365,,367742,,,1450270,1450270,,,,,,,,,,,,,,,,,,,,,,,,,,
30364,,,,,,,,,,,,,,843904,,,,,,,,,,,,,,,,,,
30334,,,,,,,,,,,,,,,,,,,,,,,,45625200,,,,3924760,,,,
30333,,9294600,35177100,15256600,4940390,4940390,2327490,2327490,1202510,861327,621702,402704,383119,21170200,47586900,18652300,6293620,2867590,1650960,1098220,828086,590245,515924,,59611300,22237800,7901510,,2178620,1450820,1044400,742918
30298,,,,,,,,,,,,,,,,,,,,,,,219909,,,,,,,,,
30295,,,,,,,,,,475705,357118,,,,,,,,,,,,,,,,,,,,,
30294,,,,,,,1350010,1350010,797344,,,,,,,,2956090,1562560,960768,,475424,295044,,,,,,1836000,1132900,682776,,
30293,,,,,2890880,2890880,,,,,,236090,217623,,,,,,,585559,,,,,,9489510,3672050,,,,561536,387768
30292,,,14149700,7208830,,,,,,,,,,,17886700,8316220,,,,,,,,,21739800,,,,,,,
30291,,,,,,,,,,,,,,7217540,,,,,,,,,,14231100,,,,,,,,
30289,,3278470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30268,,,,,,,,,,,,,173446,,,,,,,470506,,,213509,,,,,,,622038,,
30267,,,,4483410,2378010,2378010,1192440,1192440,724290,368876,,,,,,5852760,2727730,1226550,856432,,435549,278573,,,,7605850,3341480,1659950,1142020,,478215,361955
30266,,,,,,,,,,,,,,,,,,,,,,,,,7933570,,,,,,,
30251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441212,
30250,,,,,1674480,1674480,,,,,283880,,180848,,,,2090120,1325830,780021,506387,,222370,227080,,8148580,,2541170,,960153,538632,,379012
30249,,,5969720,,,,1081900,1081900,583297,415548,,227511,,,6803620,,,,,,,,,,,,,1553060,,,,
30248,,,,,,,,,,,,,,,,,,,,,,,,8441980,,,,,,,,
30247,,,,,,,,,,,,,,5083740,,,,,,,,,,,,,,,,,,
30246,,2977500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30230,,,,,,,,,,,,,,,,,,,,,,,114990,,,,,,,,,
30229,,,,,,,,,,,,,,,,,,,,,,135023,,,,,,,,,,
30228,,,,,,,,,,,,,118820,,,,,,292384,,158607,,,,,,,,355349,236048,,
30227,,,,,683138,683138,449033,449033,309657,,,,,,,,805405,413637,,237080,,,,,,,747075,533014,,,,138169
30226,,,,909322,,,,,,239647,174392,115889,,,425552,1270210,,,,,,,,,,1550700,,,,,194941,
30222,,,348614,,,,,,,,,,,,,,,,,,,,,661215,886775,,,,,,,
30205,,,,,,,,,,,,,,,,,,,,,,,101939,,,,,,,,,
30203,,,,,,,,,,216880,,90906.5,,,,,,,,,,,,,,,,,,,,
30202,,,,,,,,,,,,,,,,,,,,,184210,,,,,,,,,,,
30191,,,,,,,,,,,,,,,,,,,,,,,,,,4697250,1786710,,,,,
30190,,,,,,,,,,,,,,,,4268760,,,445954,,,,,,,,,,,,,
30189,,,,3564210,,,,,,,,,,,,,,,,,,,,,11741800,,,978287,,,,
30188,,,7756840,,,,,,,,,,,,10094600,,1782160,879673,,,,,,,,,,,581125,,,
30187,,,,,1702270,1702270,913235,913235,504228,,255444,,,,,,,,,354775,,215597,105962,14096000,,,,,,339892,307936,275679
30186,,3737670,,,,,,,,295365,,,136386,7238990,,,,,,,308625,,,,,,,,,,,
30185,,,,,,,,,,,,160071,,,,,,,,,,,,,,,,,,,,
30164,,,,,,,,,241726,,,,,,,,,,,,,,,,,,,,,,,
30163,,,,,,,,,,,,91455,,,,,,,,,,,,,,,,,333961,,,
30162,,,,,,,,,,,,,,,,,,,308085,173348,,,,,,,,616610,,,,
30161,,,,,,,,,,144894,,,69454.5,,,,,,,,,,,,,,,,,252753,,
30160,,,,,,,443741,443741,,,,,,,,,,486312,,,,,,,,,,,,,,
30159,,,,,702199,702199,,,,,100100,,,,,,733322,,,,,102443,,,,,860280,,,,,
30151,,,,,,,,,,,,,,,,,,,,,,,,,,2018320,,,,,,
30150,,,,,,,,,,,,,,,,1891140,,,,,,,,,,,,,,,,
30149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159806,
30148,,,,1668850,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30147,,,,,,,,,,,,,,,,,,,,,,,,,7034540,,,,,,,94367.2
30146,,,,,,,,,,,,,,,6082340,,,,,,133474,,65266.5,,,,,,,,,
30145,,,5441580,,,,,,,,,,,,,,,,,181232,,,,8822670,,,,,,,,
30144,,,,,,,,,,,,,,5380600,,,,,,,,,,,,,,,,,,
30142,,3154670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30129,,,,,,,,,,,99488.4,,,,,,,,,,,,,,,,,,,,,
30128,,,,,,,,,,,,,62126.2,,,,,,,,,,,,,,,,,,,
30127,,,,,,,,,,,,,,,,,,,,,,,71368.4,,,,1006850,,,,,
30126,,,,,811931,811931,,,,145625,,,,,,,819539,,241186,,,,,,,,,577001,337743,,,
30125,,,,,,,402680,402680,,,,,,,,1205240,,442626,,,,85121.1,,,,1529570,,,,,,76794.6
30124,,,,924820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30123,,,,,,,,,239715,,,,,,,,,,,129924,,,,,,,,,,,149342,
30122,,,,,,,,,,,,72620.8,,,,,,,,,104967,,,,,,,,,194083,,
30110,,,,,,,,,,104988,,,,,,,,,,,,,,,,,,,,,,
30106,,,,,,,,,,,,,,,,,,,,,,,,,2946620,,,,,,,
30105,,,,,,,,,,,,,,,2786720,,,,,,,,,,,,,,,,,
30104,,,2572830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30103,,,,,,,,,,,,,,,,,,,,,,,,5560900,,,,,,,,
30102,,1881940,,,,,,,,,,,,3127970,,,,,,,,,,,,,,,,,,
30089,,,,,,,,,,,,,146641,,,,,,,,,,,,,,,,,,,
30088,,,,,,,1113390,1113390,,325717,232115,,,,,,,,,456527,,,151683,,,,,,841021,512931,,
30087,,,,,1921930,1921930,,,583043,,,,,,,3390640,2257550,1320130,743465,,325952,186442,,,,,2915220,1539240,,,292975,
30086,,,,2595030,,,,,,,,108358,,,,,,,,,,,,,,4582070,,,,,,221281
30084,,,,,,,,,,,,,,,,,,,,,,,,,4642840,,,,,,,
30083,,,4453450,,,,,,,,,,,,4334470,,,,,,,,,,,,,,,,,
30082,,3667320,,,,,,,,,,,,4878500,,,,,,,,,,5872480,,,,,,,,
30065,,,,,,,,,,92125.9,102219,44307.9,,,,,,,,,93846.6,69054.5,,,,,,,,146204,,
30064,,,,,,,,,,,,,48755,,,,,,,,,,,,,,,,207839,,,
30063,,,,,,,,,151821,,,,,,,,,,,151079,,,,,,,,,,,48195.6,90437.1
30058,,,,,,,,,,,,,,,,,,,,,,,,,,,562804,,,,,
30047,,,,,,,,,,,,,,,,,,,,,,,33807.5,,,,,428791,,,,
30046,,,,,,,250748,250748,,,,,,,,,,,,,,,,,,,,,,,,
30045,,,,,497165,497165,,,,,,,,,,,,375196,233335,,,,,,,,,,233871,195729,,
30044,,,,,,,,,156758,,,,,,,,589582,,,,100186,,,,,,,,,,,
30043,,,,,,,,,,,107880,57921.1,,,,1358250,,,,,,,,,,1194340,,,,,45992.7,
30042,,,,1371330,,,,,,,,,,,6161260,,,,,,,,,,5236080,,,,,,,100507
30041,,5641330,6260750,,,,,,,65046.3,,,47932.3,8957590,,,,,,,,,,12182400,,,,,,,,
30023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66840,,
30018,,,,,334393,334393,,,,,,,,,,,,190972,,,,,,,,817671,,274942,,,,
30017,,,,676174,,,,,,,,,,,,,429962,,114632,,,,,,,,,,,,,
30016,,,,,,,,,,,,,,,,608622,,,,,,,,,,,393975,,,,,
30015,,,,,,,,,,,,,,,,,,,,,69239.7,,,,,,,,,,,
30000,,,,526888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29988,,,,,,,,,,,,,,,,,,,,,,,28730,,,,,,,,,
29986,,,,,,,,,,,,,,,,,,,,,85073.7,,,,,,,,,,,
29985,,,,,,,,,,,,,,,,,,,,,,31808.7,,,,,,,,,,
29984,,5146410,5252310,,,,,,,,,,,9413890,6009590,,624263,,,162523,,,,16144700,,,,,,185435,,37805.1
29983,,,,1288500,523425,523425,257422,257422,,,,,,,,1670830,,401588,,,,,,,6794360,1994030,751462,462170,,,,
29982,,,,,,,,,190483,,40504.1,,,,,,,,254983,,,,,,,,,,,,,
29981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289720,,,
29961,,,,,,,,,,,,,,,,644448,,,,,,,,,,788783,,,,,,
29954,,,,,,,,,,,33713.6,,,,,,,,,,,,,,,,,,,,,
29948,,,,,,,,,107419,,,,,,,,,,,,,,,,,,,,,,,
29946,,,,,,,,,,,,,,,,,,,,,,,,,,,,426485,,,,
29945,,,,,,,280065,280065,,,,,,,,,,,,,,,,,,,782676,,285762,,,
29944,,,,,485774,485774,,,,,,36625.6,,,,,583556,336512,,,,71234,,,,,,,,,,
29943,,,,1393000,,,,,,,,,,,,1531400,,,226946,90795.5,113698,,,18002100,7742680,1927040,,,,,,
29942,,6141340,6466590,,,,,,,,,,,10771700,7637940,,,,,,,,,,,,,,,,,
29941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85688.7,
29922,,,,,,,,,,,,,,,,,,261739,,,,,,,,,,,,,,
29921,,,,,,,191211,191211,,,,,,,,,362279,,,,,,,,,,,,,,,
29920,,,,,348101,348101,,,,,,,,,,,,,,,,,,,,,454600,254252,,,,
29919,,,,,,,,,,,,,,,,681664,,,,,,,,,,1033390,,,,,,
29918,,,,662430,,,,,,,,,,,,,,,,,,,,,,,,,105491,,,
29917,,,,,,,,,,,,,,,,,,,,,,,,,988012,,,,,,,
29916,,,,,,,,,,,,,,,853410,,,,,,,,,,,,,,,,,
29900,,,,,,,,,,,,,,,,,,,,,,,,,,,199272,,,,,
29899,,,,,167393,167393,,,,,,,,,,,106884,,,,,,,,1492790,311521,,,,,,
29898,,,,,,,,,,,,,,,1827140,435766,,,,,,,,,,,,,,,,
29897,,,2163000,391862,,,,,,,,,,,,,,,,,,,,5291280,,,,,,,,
29896,,2975220,,,,,,,,,,,,4150940,,,,,,,,27421.2,,,,,,,,,,
29893,,,,,,,,,,,,,,,,,,150463,,,,,,,,,,,,,,
29891,,,,,,,,,,,59358.3,,,,,,,,,,,,,,,,,,,,,
29889,,,,,,,,,,,,,37735.5,,,,,,,,,,,,,,,,,,,
29881,,,,,,,,,,,,,,,,,107802,,,,,,,,,,,,,,,
29879,,,,,157666,157666,,,,,,,,,,,,,,,,,,,,,,,,,,
29877,,,,241719,,,,,,,,,,,,187042,,,,,,,,,670923,,,,,,,
29876,,,,,,,,,,,,,,507529,,,,,,,,,,,,,,,,,,
29875,,,483090,,,,,,,,,,,,584092,,,,,,,,,709013,,,,,,,,
29849,,,,,,,,,,,,,26063.6,,,,,,,,,,,,,,,,,,,
29839,,,,,,,,,,,,,,,,,,,,,,,,,1831830,,,,,,,
29838,,,1535670,,,,,,,,,,,,1698080,,,,,,,,,,,,,,,,,
29837,,,,,,,,,,,,,,4140590,,,,,,,,,,6178690,,,,,,,,
29836,,2592670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29812,,,,,,,,,,,,,,,,,,,51396.9,,,,,,,,,,,,,
29801,,,,115555,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29798,,,2523570,,,,,,,,,,,,2878320,,,,,,,,,9771300,3023530,,,,,,,
29797,,3383880,,,,,,,,,,,,5791210,,,,,,,,,,,,519890,148377,,,,,
29787,,,,,,,,,,,35860.3,,,,,,,,,,,,,,,,,,,,,
29786,,,,,,,,,,,,,,,,,,,,,,41177.4,,,,,,,,,,
29785,,,,,,,,,262340,193792,,,,,,,,267603,342416,243944,,,,,,,,,387119,152151,,
29784,,,,,,,,,,,,,,,,,,,,,,,,,,,,330613,,,,
29779,,,,,,,,,,,,,,,,,,,,,,,,,,269105,,,,,,
29778,,,,,,,,,,,,,,,,,,,,,,,,,859160,,,,,,,
29777,,,,,,,,,,,,,,,616591,,,,,,,,,,,,,,,,,
29761,,,381806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29760,,,,,,,,,,,,,,,,,,,,,,,,,478836,,,,,,,
29758,,210543,,,,,,,,,,,,413780,,,,,,,,,,,,,,,,,,
29757,,,,,,,,,,,,,,,,,,,,,,,,716334,,,,,,,,
29742,,,,,,,,,94318.3,,,,,,,,,,,,,,,,,,,,,,,
29733,,5795920,2722510,,153802,153802,,,,,,,,7773830,2289850,191470,,,,,,,,8325630,1803200,,,,,,,
29709,,,,,,,,,,,,,,,,,,,,,,,,,580026,,,,,,,
29696,,,,,,,,,,,,,,,551151,,,,,,,,,,,,,,,,,
29695,,874372,468086,,,,,,,,,,,,,,,,,,,,,1405210,,,,,,,,
29694,,,,,,,,,,,,,,1127410,,,,,,,,,,,,,,,,,,
29689,,,,,,,,,41045.9,,,,,,,,,,,,,,,,,,,,,,,
29666,,202706,,,,,,,,,,,,340747,409249,,,,,,,,,,,,,,,,,
29664,,,360762,,,,,,,,,,,,,,,,,,,,,588595,,,,,,,,
29638,,,,,,,,,,,,,,,,,,,,,,,,,,,,95861.5,,,,
29635,,7903590,4055990,,,,,,,,,,,13731700,,,,,,,,,43889.4,21558100,5335910,,589642,,,,,
29634,,,,,,,,,,,,,,,4727290,,,,,,,,,,,,,,,,,
29633,,,,,,,,,,,,37983.1,,,,,,,,,58710.8,,,,,,,,,,,
29614,,,,,,,,,,,,,,,,,,,,,,,,,,,96426.5,,,,,
29613,,,,,,,,,,,,,,,,,,,,,,,,,751748,,,,,,,
29612,,,,,,,,,,,,,,,612596,,,,,,,,,,,,,,,,,
29600,,,,,,,,,,,,,,,,,,,,,,22596.6,,,,,,,,,,
29596,,,432823,,,,,,,,,,,,,,,,,,,,,1522940,,,,,,,,
29595,,931331,,,,,,,,,,,,1198870,,,,,,,,,,,,,,,,,,
29594,,,,,,,,,,,,,,,,,,,,,,,,,415246,,,,,,,
29547,,467052,,,,,,,,,,,,692697,,,,,,,,,,,,,,,,,,
29546,,,,,,,,,,,,,,,,,,,,,,,,1428440,,,,,,,,
29500,,,,,,,,,,,,,,,,,,,,,,,,,273179,,,,,,,
29499,,1154010,,,,,,,,,,,,1693840,404611,,,,,,,,,2314980,,,,,,,,
29435,,,,,,,,,,,,,,,,,,,,,,,,,,,,135782,,,,
29406,,230478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29365,,,,,,,,,,,,,,123728,,,,,,,,,,,,,,,,,,
29364,,153153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28879,,,,,,,,,,,,,,,,,,,,,,,28546.6,,,,,,,,,
28872,,,,,,,,,,,,23530,,,,,,,,,,,,,,,,,,,,
28848,,,,,,,,,,,,,,,,,,,,,,,40391.3,,,,,,,,,
28751,,,,,,,,,,,,,20914.8,,,,,,,,,,,,,,,,,,,
28746,,,,,,,,,,,,31371.8,,,,,,,,,,,,,,,,,,,,
28636,,,,,,,,,,,28554.7,,,,,,,,,,,,,,,,,,,,,
28552,,,,,,,,,,,,40593.5,,,,,,,,,,,,,,,,,,,,
28508,,,,,,,,,,,,,,,,,,,,,,,44504.9,,,,,,,,,
28491,,,,,,,,,,,,21797.6,,,,,,,,,,,,,,,,,,,,
28475,,,,,,,,,,34795.1,,,,,,,,,,,,,,,,,,,,,,
28453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36494.7
28451,,,,,,,,,,,,,,,,,,,,,,28625.1,,,,,,,,,,
28432,,,,,,,,,,,,,,,,,,,,,,34518.3,,,,,,,,,,
28412,,,,,,,,,,,,72370.1,,,,,,,,,,,,,,,,,,53345.1,,
28411,,,,,,,,,,,,,,,,,,,,,,118125,,,,,,,,,138535,101569
28410,,,,,,,,,,,,,,,,,,,,,,,82433.1,,,,,,,,,
28409,,,,,,,,,,,34929.6,,36861.9,,,,,,,,53304.6,,,,,,,,,,,
28351,,,,,,,59036,59036,,,,,,,,,,,,,,,,,,,,,,,,
28317,,,,,,,,,,37157.2,,,,,,,,,,,,,,,,,,,,,59594.1,
28314,,,,,,,,,,,,43073.1,,,,,,,,,,,,,,,,,,,,
28313,,,,,,,,,,,,,,,,,,,,,,,54188.3,,,,,,,,,
28276,,,,,,,,,,,52723.7,,,,,,,,,,,,,,,,,,,,,
28273,,,,,,,,,,,,,,,,,,,,,,,38861.6,,,,,,,,,
28272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67332.7,
28269,,,,,,,,,,58315.4,,,,,,,,,,,,,,,,,,,,,,37690
28266,,,,,,,,,,,,,,,,,,,,,,32275,,,,,,,,,,
28264,,,,,,,,,44423.2,,,,,,,,,,,,,,,,,,,,,,,
28251,,,,,,,,,,40993,,,,,,,,,,,,,,,,,,,,,,
28233,,,,,,,,,,,,,,,,,,,,,,,25902.4,,,,,,,,,
28224,,,,,,,,,,,,,,,,,,,,,21247.2,,,,,,,,,,,
28223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36011,
28221,,,,,,,,,,62365.7,,,,,,,,,,,,,,,,,,,,,,
28220,,,,,,,,,,,,,,,,,,,,,,35554.2,,,,,,,,,,
28218,,,,,,,,,,,,38228.7,,,,,,,,,,,,,,,,,,,,
28182,,,,,,,,,43782.3,,,,,,,,,,,,,,,,,,,,,,,
28180,,,,,,,,,,51624.3,,,,,,,,,,,,,,,,,,,,,,
28165,,,,,,,,,,,32290.7,,,,,,,,,,,,,,,,,,,,,
28162,,,,,,,,,,,,27068.8,,,,,,,,,,,,,,,,,,,,
28161,,,,,,,,,,,,,,,,,,,,62063.9,,,,,,,,,,,,
28143,,,,117148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28133,,,,,,,62509.1,62509.1,,,,,,,,,,,,,,,,,,,,,,,,
28130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57980.5,,,
28129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31590.6
28121,,,,,,,,,,,,,,,,,,,,,,,,,,,,76095.2,,,,
28120,,,,,,,,,43464.5,,,,,,,,,,,,,,,,,,,,,,,
28116,,,,,,,,,,,,24071.8,,,,,,,,,,,,,,,,,,,,
28111,,,,,,,,,,,,,21778.7,,,,,,,,,,,,,,,,,,,
28107,,,,,,,,,,37937.7,37285.4,,,,,,,,,,,,,,,,,,,,,33527.4
28098,,,,,,,61654.7,61654.7,,,,,,,,,,,,,,,,,,,,,,,,
28083,,,,,,,,,,,,,,,,,,76625.2,,,,,,,,,93373.8,,,,,
28082,,,,,,,70825.9,70825.9,,,,,,,,,,,81308.9,,,,,,,365078,,131560,,,,
28080,,,,,,,,,,,,,,,,,191319,,,,,,,,,,,,,,,
28079,,,,194543,,,,,,,,,,,,258901,,,,,,,,,,,,,,,,
28078,,,,,,,,,,69971.4,,,,,,,,,,,,,,,,,,,92116.4,,,42612.5
28076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91976.5,
28075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69497.8,,
28071,,,,,,,,,,,,,29457.9,,,,,,,,,,,,,,,,,,,
28069,,,,,,,,,63591.8,,,,,,,,,,,,,,30617.7,,,,,,,,,
28061,,,,,,,,,,,39487.7,,,,,,,,,,19006.6,,,,,,,,,,,
28059,,,,,,,,,,,,,,,,,,,,,,,,,,164210,,,,,,
28058,,,,,,,,,,,,,,,,,,,,76121.6,,,,,,,,,,,,
28055,,,,,,,,,,34196.2,,,,,,,,,,,,,,,,,,,,,,
28044,,,,,76314.9,76314.9,,,,,,,,,,,,,,,,,,,,,,,,,,
28043,,,,148941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49897.5
