"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
27130,0,0,"","C2",4142706.66666667,NA,NA,27130,NA,NA,8,NA,NA
27207,0,0,"","HILIC",NA,NA,33194,NA,NA,27207,NA,NA,3
27233,0,0,"","C2",4459570,NA,NA,27233,NA,NA,1,NA,NA
27242,0,0,"","C2",4960803.33333333,NA,NA,27242,NA,NA,8,NA,NA
27300,0,0,"","HILIC",NA,NA,41130.95,NA,NA,27300,NA,NA,4
27350,0,0,"","C2",1291180,NA,NA,27350,NA,NA,1,NA,NA
27356,0,0,"","C2",2523515,NA,NA,27356,NA,NA,5,NA,NA
27384,0,0,"","HILIC",NA,NA,51081.25,NA,NA,27384,NA,NA,5
27397,0,0,"","C2",1163842,NA,NA,27397,NA,NA,10,NA,NA
27401,0,0,"","C2",3557600,NA,NA,27401,NA,NA,3,NA,NA
27404,0,0,"","HILIC",NA,NA,42276.7,NA,NA,27404,NA,NA,2
27442,0,0,"","C2",3307156.66666667,NA,NA,27442,NA,NA,8,NA,NA
27449,0,0,"","C2",1823700,NA,NA,27449,NA,NA,9,NA,NA
27453,0,0,"","HILIC",NA,NA,55053.8,NA,NA,27453,NA,NA,7
27457,0,0,"","HILIC",NA,NA,66871.2,NA,NA,27457,NA,NA,5
27475,0,0,"","HILIC",NA,NA,45992.2666666667,NA,NA,27475,NA,NA,5
27481,0,0,"","C2",2901250,NA,NA,27481,NA,NA,8,NA,NA
27509,0,0,"","C2 & CE",2339940,192249,NA,27509,27509,NA,2,1,NA
27526,0,0,"","C2 & CE",6006906.66666667,27801.9,NA,27526,27526,NA,8,12,NA
27530,0,0,"","CE & HILIC",NA,182083,45315.95,NA,27531,27529,NA,2,8
27548,0,0,"","C2",1011586,NA,NA,27548,NA,NA,9,NA,NA
27552,0,0,"","C2",2406360,NA,NA,27552,NA,NA,8,NA,NA
27557,0,0,"","HILIC",NA,NA,51444.25,NA,NA,27557,NA,NA,7
27560,0,0,"","CE",NA,80619,NA,NA,27560,NA,NA,5,NA
27564,0,0,"","CE",NA,35586.7,NA,NA,27564,NA,NA,8,NA
27568,0,0,"","C2 & CE",2775430,362515,NA,27568,27569,NA,2,1,NA
27586,0,0,"","C2",1518454.66666667,NA,NA,27586,NA,NA,9,NA,NA
27592,0,0,"","C2 & HILIC",2182616.66666667,NA,49275.1,27592,NA,27592,8,NA,4
27599,0,0,"","CE",NA,69541.2333333333,NA,NA,27599,NA,NA,6,NA
27603,0,0,"","CE",NA,73343.95,NA,NA,27603,NA,NA,6,NA
27610,0,0,"","C2",3279733.33333333,NA,NA,27610,NA,NA,8,NA,NA
27619,0,0,"","HILIC",NA,NA,40133.5,NA,NA,27619,NA,NA,8
27632,0,0,"","HILIC",NA,NA,47477.25,NA,NA,27632,NA,NA,4
27645,0,0,"","C2",2786543.33333333,NA,NA,27645,NA,NA,8,NA,NA
27656,0,0,"","HILIC",NA,NA,53349.45,NA,NA,27656,NA,NA,3
27659,0,0,"","CE",NA,291178,NA,NA,27659,NA,NA,3,NA
27662,0,0,"","CE",NA,78082.6,NA,NA,27662,NA,NA,6,NA
