"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
28987,28988,0.00163966817159661,"HexNAc(1)Hex(1) _ H3N4F1","HILIC",NA,NA,236087.8,NA,NA,28987,NA,NA,1
28993,0,0,"","C2",10556100,NA,NA,28993,NA,NA,6,NA,NA
29011,0,0,"","C2",1634322.33333333,NA,NA,29011,NA,NA,2,NA,NA
29041,0,0,"","C2",4172470,NA,NA,29041,NA,NA,7,NA,NA
29049,0,0,"","HILIC",NA,NA,57224.2333333333,NA,NA,29049,NA,NA,2
29053,0,0,"","C2",1930186.66666667,NA,NA,29053,NA,NA,1,NA,NA
29065,0,0,"","C2",9434980,NA,NA,29065,NA,NA,6,NA,NA
29086,29086,0.000210075545342181,"HexNAc(1) _ H3N6","C2",4570383.33333333,NA,NA,29086,NA,NA,3,NA,NA
29107,0,0,"","C2",56115000,NA,NA,29107,NA,NA,6,NA,NA
29170,0,0,"","C2",12746633.3333333,NA,NA,29170,NA,NA,7,NA,NA
29210,0,0,"","C2",12627853.3333333,NA,NA,29210,NA,NA,7,NA,NA
29222,0,0,"","HILIC",NA,NA,96038.3,NA,NA,29222,NA,NA,2
29236,29238,0.00031698666628243,"no glycan _ H5N4F1S1","C2",20891233.3333333,NA,NA,29236,NA,NA,6,NA,NA
29280,29279,0.012485546627754,"HexNAc(1)Hex(1)NeuAc(1) _ H3N4F1","HILIC",NA,NA,219978,NA,NA,29280,NA,NA,2
29301,0,0,"","C2",4144843.33333333,NA,NA,29301,NA,NA,7,NA,NA
29314,0,0,"","C2",5729390,NA,NA,29314,NA,NA,8,NA,NA
29342,0,0,"","HILIC",NA,NA,452726.666666667,NA,NA,29342,NA,NA,3
29368,0,0,"","HILIC",NA,NA,211696.333333333,NA,NA,29368,NA,NA,2
29372,0,0,"","C2",11014000,NA,NA,29372,NA,NA,5,NA,NA
29393,29394,0.000640757426691371,"HexNAc(1)Hex(1) _ H3N6F1","C2 & HILIC",6332213.33333333,NA,103852.566666667,29394,NA,29393,3,NA,2
29433,0,0,"","C2 & HILIC",5928710,NA,579443.666666667,29434,NA,29433,4,NA,2
29455,0,0,"","HILIC",NA,NA,128164.333333333,NA,NA,29455,NA,NA,3
29482,29482,0.00483270360491848,"HexNAc(1)Hex(1)NeuAc(1) _ H3N5F1","HILIC",NA,NA,878407,NA,NA,29482,NA,NA,2
29498,29498,0.00208850664901081,"HexNAc(1)Hex(1)NeuAc(1) _ H4N5","C2 & CE & HILIC",38306700,1720943.33333333,126849.333333333,29497,29499,29498,3,1,6
29509,0,0,"","C2",9380936.66666667,NA,NA,29509,NA,NA,4,NA,NA
29534,0,0,"","C2 & HILIC",11919993.3333333,NA,126427.666666667,29535,NA,29533,4,NA,2
29547,0,0,"","C2 & CE",28146366.6666667,862729.666666667,NA,29547,29547,NA,2,1,NA
29570,29570,0.0695730760883884,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F1","HILIC",NA,NA,7697440,NA,NA,29570,NA,NA,2
29595,29597,0.00038210305261412,"HexNAc(2)Hex(1) _ H3N6F1","CE",NA,1217713.66666667,NA,NA,29595,NA,NA,1,NA
29603,29603,0.000519572129696013,"HexNAc(1)Hex(1) _ H5N4F1S1","HILIC",NA,NA,148875.666666667,NA,NA,29603,NA,NA,2
29612,29612,0.000144411141718601,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F1","C2",36822733.3333333,NA,NA,29612,NA,NA,3,NA,NA
29629,29627,0.0253257744767517,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5","HILIC",NA,NA,296148.333333333,NA,NA,29629,NA,NA,2
29635,0,0,"","C2 & CE",283386666.666667,14397796.6666667,NA,29635,29635,NA,2,1,NA
29645,29644,0.00433453943137963,"HexNAc(1)Hex(1)NeuAc(1) _ H4N5F1","HILIC",NA,NA,441295.333333333,NA,NA,29645,NA,NA,3
29651,0,0,"","HILIC",NA,NA,100265.033333333,NA,NA,29651,NA,NA,6
29664,0,0,"","C2 & CE",14041266.6666667,452868.666666667,NA,29665,29664,NA,3,2,NA
29684,29685,0.00487916205645723,"HexNAc(1)Hex(1)NeuAc(1) _ H3N6F1","HILIC",NA,NA,1630600,NA,NA,29684,NA,NA,2
29695,0,0,"","CE",NA,1135664,NA,NA,29695,NA,NA,1,NA
29709,0,0,"","C2",11330646.6666667,NA,NA,29709,NA,NA,1,NA,NA
29718,29716,0.0140547873531775,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F2","C2",17680566.6666667,NA,NA,29718,NA,NA,5,NA,NA
29733,29732,0.0286069732530129,"HexNAc(1)Hex(1)NeuAc(2) _ H4N4F1","CE & HILIC",NA,7298460,3210263.33333333,NA,29733,29733,NA,1,3
29744,29743,0.00117264703569264,"HexNAc(1)Hex(1) _ H3N7F2","C2",18034233.3333333,NA,NA,29744,NA,NA,4,NA,NA
29748,0,0,"","HILIC",NA,NA,249123.833333333,NA,NA,29748,NA,NA,5
29752,0,0,"","C2",10896666.6666667,NA,NA,29752,NA,NA,2,NA,NA
29758,29758,2.91731802357847e-05,"HexNAc(1)Hex(1)NeuAc(2) _ H3N4F2","CE",NA,446885.666666667,NA,NA,29758,NA,NA,1,NA
29773,29773,0.0269292218948771,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5F1","HILIC",NA,NA,1716933.33333333,NA,NA,29773,NA,NA,3
29784,0,0,"","C2 & CE",62602166.6666667,330625,NA,29783,29785,NA,3,8,NA
29788,29789,0.0116377629538253,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5","HILIC",NA,NA,430963,NA,NA,29788,NA,NA,4
29798,0,0,"","C2 & CE & HILIC",120534433.333333,6315463.33333333,522234.333333333,29798,29797,29799,2,1,2
29813,29815,5.58963308520692e-05,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5F1","C2",6033563.33333333,NA,NA,29813,NA,NA,4,NA,NA
29838,0,0,"","C2 & CE",81870166.6666667,4303983.33333333,NA,29839,29837,NA,2,1,NA
29848,29847,0.000669591463332079,"HexNAc(2)Hex(2)NeuAc(1) _ H3N5F1","C2 & HILIC",20685266.6666667,NA,829743.666666667,29849,NA,29848,4,NA,3
29875,0,0,"","CE",NA,592065,NA,NA,29875,NA,NA,2,NA
29879,29878,0.0344292511771991,"HexNAc(1)Hex(1)NeuAc(2) _ H4N4F2","HILIC",NA,NA,4410073.33333333,NA,NA,29879,NA,NA,4
29887,29889,0.00157667715020866,"HexNAc(2)Hex(1) _ H3N6F3","C2 & HILIC",26119166.6666667,NA,386525.666666667,29888,NA,29886,4,NA,2
29896,29894,0.00395637493254762,"HexNAc(1)Hex(1)NeuAc(1) _ H5N4F1S1","C2 & CE & HILIC",16616336.6666667,4139146.66666667,965223.666666667,29897,29896,29895,1,1,5
29917,29919,0.0363657577502464,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5F2","HILIC",NA,NA,296753.333333333,NA,NA,29917,NA,NA,2
29920,29919,0.0363657577502464,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5F2","C2 & CE & HILIC",56070833.3333333,792494.666666667,4421423.33333333,29920,29919,29920,3,3,3
29935,29935,0.0241533070724467,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5F1","HILIC",NA,NA,490800.333333333,NA,NA,29935,NA,NA,5
29942,0,0,"","C2 & CE",238182666.666667,11746796.6666667,NA,29943,29942,NA,2,2,NA
29951,29952,0.00253453956723216,"HexNAc(1)Hex(1)NeuAc(1) _ H5N5F2","C2 & HILIC",16773230,NA,266062,29950,NA,29952,4,NA,6
29977,29976,0.0271881018206201,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F1","HILIC",NA,NA,1362560,NA,NA,29977,NA,NA,3
29983,0,0,"","C2 & CE",243682333.333333,10270300,NA,29983,29984,NA,2,2,NA
29992,29993,0.00516120395313873,"HexNAc(1)Hex(1)NeuAc(1) _ H4N6F2","C2 & HILIC",22628833.3333333,NA,1417716.66666667,29992,NA,29992,5,NA,4
30000,0,0,"","HILIC",NA,NA,139599.666666667,NA,NA,30000,NA,NA,2
30017,30018,5.64336816168547e-05,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F1","C2 & CE",17457100,700822.333333333,NA,30017,30017,NA,3,3,NA
30025,30023,0.0155685719589217,"HexNAc(1)Hex(1)NeuAc(2) _ H4N4F1S1","HILIC",NA,NA,2247350,NA,NA,30025,NA,NA,4
30028,0,0,"","HILIC",NA,NA,850166.666666667,NA,NA,30028,NA,NA,3
30041,0,0,"","C2 & CE & HILIC",71448533.3333333,9133580,2047493.33333333,30042,30041,30041,2,2,5
30045,0,0,"","CE",NA,368744,NA,NA,30045,NA,NA,4,NA
30055,0,0,"","C2 & HILIC",13713190,NA,380081,30056,NA,30055,3,NA,7
30060,0,0,"","HILIC",NA,NA,435105.333333333,NA,NA,30060,NA,NA,3
30064,30065,0.00281012181920342,"HexNAc(1)Hex(1)NeuAc(2) _ H3N5F3","C2 & CE",26872033.3333333,170246.333333333,NA,30065,30063,NA,4,8,NA
30082,30081,0.0270349143828914,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5F2","CE & HILIC",NA,5068143.33333333,2551800,NA,30082,30082,NA,2,4
30087,0,0,"","C2 & CE",158333000,2742596.66666667,NA,30088,30087,NA,3,4,NA
30095,30097,0.00214067813230697,"HexNAc(1)Hex(1)NeuAc(1) _ H5N5F1S1","HILIC",NA,NA,680100,NA,NA,30095,NA,NA,6
30099,30097,0.00214067813230697,"HexNAc(1)Hex(1)NeuAc(1) _ H5N5F1S1","C2",10715163.3333333,NA,NA,30099,NA,NA,1,NA,NA
30103,0,0,"","CE",NA,3753900,NA,NA,30103,NA,NA,2,NA
30117,0,0,"","C2",8657066.66666667,NA,NA,30117,NA,NA,1,NA,NA
30123,30122,0.0375548617193274,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F2","CE & HILIC",NA,1219876.66666667,5336876.66666667,NA,30125,30123,NA,3,4
30128,0,0,"","C2",77487900,NA,NA,30128,NA,NA,4,NA,NA
30135,0,0,"","HILIC",NA,NA,2717680,NA,NA,30135,NA,NA,5
30146,0,0,"","C2 & CE",146860333.333333,6782196.66666667,NA,30147,30145,NA,2,2,NA
30159,0,0,"","CE",NA,765267,NA,NA,30159,NA,NA,4,NA
30162,30164,7.79517129741714e-05,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F2","C2 & CE",32822600,388807,NA,30163,30162,NA,3,8,NA
30180,0,0,"","C2",16364233.3333333,NA,NA,30180,NA,NA,5,NA,NA
30188,30186,0.00243053592290775,"HexNAc(1)Hex(1)NeuAc(1) _ H5N4F1S2","C2 & CE & HILIC",294420333.333333,10649146.6666667,2702010,30189,30188,30187,2,2,6
30193,30195,0.000281277620934349,"HexNAc(2)Hex(2)NeuAc(2) _ H3N6","C2",121805766.666667,NA,NA,30193,NA,NA,3,NA,NA
30201,0,0,"","C2 & HILIC",59145366.6666667,NA,4463796.66666667,30201,NA,30202,5,NA,4
30227,30227,0.0385267423196631,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5F3","C2 & CE & HILIC",38629900,1243410.66666667,4684513.33333333,30227,30226,30228,4,3,6
30234,0,0,"","HILIC",NA,NA,1710183.33333333,NA,NA,30234,NA,NA,4
30243,30243,0.0141231873475286,"HexNAc(1)Hex(1)NeuAc(2) _ H5N5F2","HILIC",NA,NA,933072.666666667,NA,NA,30243,NA,NA,7
30246,0,0,"","C2",57750533.3333333,NA,NA,30246,NA,NA,4,NA,NA
30249,0,0,"","C2 & CE",173042000,7071773.33333333,NA,30250,30249,NA,2,2,NA
30263,0,0,"","C2",19576833.3333333,NA,NA,30263,NA,NA,1,NA,NA
30267,30268,0.112186643380232,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F3","C2 & CE & HILIC",279521333.333333,6089913.33333333,22867100,30267,30267,30269,4,3,5
30285,30284,0.0287597208232128,"HexNAc(1)Hex(1)NeuAc(2) _ H4N6F2","HILIC",NA,NA,1882736.66666667,NA,NA,30285,NA,NA,7
30292,0,0,"","C2 & CE",372551000,17925400,NA,30293,30292,NA,2,2,NA
30301,30300,0.00124813846277076,"HexNAc(2)Hex(2)NeuAc(2) _ H4N5F1","HILIC",NA,NA,367518.666666667,NA,NA,30301,NA,NA,8
30305,0,0,"","C2",63579266.6666667,NA,NA,30305,NA,NA,1,NA,NA
30317,30317,0.000351171144857468,"HexNAc(2)Hex(2)NeuAc(1) _ H5N5F2","HILIC",NA,NA,973704.666666667,NA,NA,30317,NA,NA,4
30333,0,0,"","C2 & CE & HILIC",1370186666.66667,47458433.3333333,3795343.33333333,30333,30333,30333,2,2,6
30349,0,0,"","HILIC",NA,NA,918180.333333333,NA,NA,30349,NA,NA,4
30366,30367,0.000103279004978435,"HexNAc(1)Hex(1)NeuAc(2) _ H3N7F2","C2 & CE",14657766.6666667,2733083.33333333,NA,30366,30366,NA,1,3,NA
30369,30367,0.000103279004978435,"HexNAc(1)Hex(1)NeuAc(2) _ H3N7F2","CE",NA,561956.666666667,NA,NA,30369,NA,NA,10,NA
30372,30372,0.0274126493176761,"HexNAc(1)Hex(1)NeuAc(2) _ H4N5F2S1","C2 & CE & HILIC",71854266.6666667,382199,3722863.33333333,30372,30370,30374,4,12,6
30377,0,0,"","HILIC",NA,NA,1709027.33333333,NA,NA,30377,NA,NA,9
30380,0,0,"","HILIC",NA,NA,4041853.33333333,NA,NA,30380,NA,NA,5
30389,30388,0.0119284775444816,"HexNAc(1)Hex(1)NeuAc(2) _ H5N5F1S1","C2 & CE & HILIC",115961100,11366900,1152713,30389,30391,30389,2,2,7
30396,0,0,"","C2 & CE",273616000,6162503.33333333,NA,30396,30395,NA,3,4,NA
30408,0,0,"","C2",28352600,NA,NA,30408,NA,NA,1,NA,NA
30410,0,0,"","C2 & HILIC",53774866.6666667,NA,514838,30411,NA,30409,5,NA,8
30414,30414,0.0128437000226881,"HexNAc(1)Hex(1)NeuAc(2) _ H3N6F2S1","HILIC",NA,NA,2760800,NA,NA,30414,NA,NA,5
30426,0,0,"","HILIC",NA,NA,317502.333333333,NA,NA,30426,NA,NA,7
