,Sample name,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57648.5,,,,,,,,,,,,,,,,,,,
34481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114927,,,,,,,,,,,,,,,,,,,,
34467,,,13911.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91025,,,,,,,,,,,,,,,,,,,,,
34462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79576,,,,,,,,,,,,,,,,,,
34453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79445.9,,,,,,,,,,,,,,,,,,,
34446,,,12595.5,,67937.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34443,,22271.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54105,,,,,,,,,,,,,,,,,,
34409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89507,,,,88956.2,,,,,,,,,,,,,,,,,,,
34402,,,,20487.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68653,,,,,,,,,,,,,,,,,,,
34376,,22416.8,25728.2,,59245.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34375,,,,31790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75322.4,,,,,,,,,,,,,,,,,,,,,
34373,,,,,,,,,,,,,,,,,,72274.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34372,,,,,,,,,,,,,,,,,,,72160.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227794,,,
34333,,,19315.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113040,82934.9,,,,,,,,,,,,,,,,,,
34332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102744,,,,,,,,,,,,,,,,,,,,
34321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98699.3,,,,,,,,,,,,,,,,,,,,,
34314,,,,,67351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34312,,,13365.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171336,,,
34308,,34456.6,,29102.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130570,
34292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97824.7,,,,,,,,,,,,,,,,,,,234961
34289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69722,,74448.2,,,,,,,,,,,,,,,,,,
34266,,,12078.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98159.5,,,,,,,,,,,,,,,,,,,,,,,
34242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98258,,,,,,,,,,,,,,,,,,
34241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58181.6,,,,,,,,,,,,,,,,,,,
