,Sample name,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_2,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_3,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4,20210304_CE_45min_SinoWT_AA_4
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
33821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182606,,,,,,,,,,,,,,,,,,,379600
33820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206690,164503,,80296,,,,,,,,,,,,,,,,380575,,
33819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306188,
33818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216359,,,,
33815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217595,,,,,,,,,,,,,,,,,,,,,,
33814,,,,,,,,,,,,,,,,,,,104590,,,,,,,,,,,,,86976.6,,,,,,,,,,,,,,,,,,,,,,,
33811,,,,,,,,,,,,,,,138552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33800,,,,17599.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33796,,,13116.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33791,,,,,,,,,,,,,,,,,215771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33790,,12837.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33788,,,,,,,,,,,,,,,,,,,111305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201179,,,,,
33785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145486,,,,,,,,,,,,,,,,,,,,,,,,,,
33783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384163,,,
33780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278629,,484685,,
33779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155264,,,,,,,,,,,,,,,,,,,,,,
33778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208189,128110,192671,122000,,,,,,,,,,,,,,,,,450779,470838
33775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144167,,,,,,,,,,,,,,,,,,,,,,,
33772,,,,,,,,,,,,,,,,,,,,,,,,,,,207699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33768,,,34592.1,,,,,,,,,,,,,,164531,133219,,,,,,,,,,,156318,,,,,,,,,,,,,,,,,,,,,,,,,,
33767,,27024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33762,,,,,,,,,,,,,,92229.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33755,,,,,,,,,,,,,,,,,,,81418.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60963.4,,,,,,,,,,,,,,,,,,,
33749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126791,,,,,,,,,,,,,,,,,,,,,,
33748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228855
33747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220562,,,,,,,
33741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104691,,,,,,,,,,,,,,,,,,
33733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149211,,,
33732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156479,,,,,,,,,,,,,,,,,,,,,
33728,,14898.2,,,,,,,,,,,,142112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33727,,,,,,,,,,,,,,,,,215756,,217089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33726,,,,,,,,,,,,,,,141929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33725,,,,17016.5,,,,,,,,,,,,,,,,,,,,,,,,,,,163725,,,,,,,,,,,,,,,,,,,,,,,,
33719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225289,,
33715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57920,,,,,,,,,,,,,,,,,,
33709,,,,,,,,,,,,,,,,85485.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66945.6,,,,,,,,,,,,,,,,,,,
33706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244804,,,,,,,,,,,,,,,,,,,,,,,,,,
33703,,,,,,,,,,,,,,,,,,,,,,,,,,,215754,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33700,,,,57332.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286248,,,,,,,
33699,,43335.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33695,,,10844.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91342.4,,,,,,,,,,,,,,,,,,,,,
33690,,,,,,,,,,,,,,,,,,146181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,347974,,,,,,,,,,,,,
33679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180732,,,,,,,,,,,,,,,,,,,,,,,,
33678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148487,,,,,,,,,,,,,,,,,,259170,,,,,,,
33677,,,,,,,,,,,,,,,,,,,215933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213242,,,,,,,,,,,,,,,,,,,,,,,,,,
33675,,,,,,,,,,,,,,,,,113575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424061,358228,,412229,
33674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114218,,,,,,,,,,,,,,,,,335191,,
33673,,,,,,,,,,,,,,86349.6,113110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378762,,,,,328824
33672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184936,,,,,,,,,,,,,,,,,,,,,,
33671,,,,,,,,,,,,,,,,132549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33668,,,,,,,,,,,,,,,,,,,,,,,,,,,,343735,,,,,,,,,,,,,,,,,,,,,,,,,,,
33654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415388,,,,,,,,,,
33653,,,,,,,,,,,,,,,,,,,,,,,,,240512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33644,,,,,,,,,,,,,,,,,,,,,,,,,,,,189047,,,,,,,,,,,,,,,,,,,,,,,,,,,
33640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232640,,,,,,,,,,,,,,,,,,,,,,,
33639,,,,,,,,,,,,,,,,,,,,,168586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203795
33636,,,,,,,,,,,,,,,136259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127539,,,92877.6,,,,,,,,,,,,,,,626832,578575,,
33634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270898,,,322429,
33633,,,,,,,,,,,,,,,,,,225905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33632,,,,,,,,,,,,,,,,,293985,,303504,,,,,,,,,,,,,,180678,,,111309,,,,,,,,,,,,,,,,,,,
33631,,50764.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191774,,,,,,,,,,,,,,,531734,,,,,
33630,,,,18375.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33629,,,,,,,,,,,,,,,,,,,,,,,,,,240048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33628,,,,,,,,,,,,,,207724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177806,,,,,,424214,,,,,,,,,,,
33626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235961,,,,,,
33623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154354,,,,,,,,,,,,,,,,,,,,,,,,,,
33615,,,,,,,,,,,,,,,,109483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33605,,,,,,,,,,,,,,,,,,,,,,,,,,,231760,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33603,,,,,,,,,,,,,,,,,,107362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232053,,
33601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173460,
33600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105700,,,,,,,,,,,,,,,,,,259487
33597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174615,,,,,,,,,,,,,,,,,,,,,,
33595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57982.3,,,,,,,,,,,,,,,,,,,
33592,,,,,,,,,,,,,,,,,,,179471,,,,,,,,,,,,,,,,107776,,,,,,,,,,,,,,,,,,,,
33590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148369,,,,,,,,,,,,,,,,,,,,,
33587,,,,,,,,,,,,,,,,,,,,,,,,,,,212868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33585,,,,,,,,,,,,,,,,,,120609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33581,,,,,,,,,,,,,,,,,,,,,,,,,,237261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274840,,,,,,,,
33576,,,,,,,,,,,,,,,,,,,,,,,,,,,,177940,,164144,,,,,,,,,,,,,,,,,,,,,,,,,
33572,,,,,,,,,,,,,,,,,159565,,,,,,,,,,,,,,,,,,,,,,,,,220036,,,,,,,,,,,,,
33570,,,,,,,,,,,,,,,,122838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375423,,,,,
33568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204942,,,,,,,,,,,,,,,,,,,,,294111,186234,
33567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214129,,,,,,,,,,,,,,,,,,,,,,,295050,,,
33566,,,,,,,,,,,,,,178567,,,,,,,,,,,,,,,,,188419,,,96910.7,,,,,,,,,,,,,,,,,,,,,
33563,,,,,,,,,,,,,193897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271095
33557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116242,,,,,,,,,,,,,,,,,,
33548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276670,,,,,,,,
33544,,,,,,,,,,,,,,171796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33532,,,,,,,,,,,,,,,,,271685,,,,,,,,,,,,,,,,,,,65565.5,,,,,,,,,,,,,,,,,,,
33531,,,,,,,,,,,,,,,170748,,,237572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375050,280546,299912,,,,
33530,,,,,,,,,,,,,,,,,,,137808,,,,,,,,,176859,,,,,221565,,,,,,,,,,,,,,,,,,,,349178,,
33529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245898,,117425,,,,,,,,,,,,,,,,,,,,,
33528,,,,,,,,,,,,,,,,232924,,,,,,,,,,,,,,,171202,,,,,,,,,,,,,,,,,,,,,430764,,,
33527,,,,,,,,,,,,,,,,,,,,,,,,,,252851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203942,,,,,,,,,,,,,,,,,,,,,,,,,,
33524,,,,,,,,,,,,,189249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206384,,
33505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366586,,,,,,,,,,
33500,,16383.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33499,,,,,,,,,,,,,,,,,,,118089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33497,,,,,,,,,,,,,,,,,,,,,,,,,,249367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33496,,,,13569.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253164,,,,
33495,,,17560.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33492,,,,,,,,,,,,,,,201609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327962,,,
33491,,,,,,,,,,,,,,,,,190981,,,,,,,,,,,,,132302,,,,,,,,,,,,,,,,,,,,,,,,296026,
33490,,,,,,,,,,,,,,,,204056,,196260,,,,,,,,,,,,,,,,,64229.2,,,,,,,,,,,,,,,,,,,,
33489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165041,,,,,,183214,,,,,,,,,,,,,,,
33488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130155,,,,,,,,,,,,,,,,,,,,,,,
33487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159761,,224899,,,,,,,,,,,,,,,,387561,443532,,,,,
33486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405038,,,,,,,
33485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293046,,,,,,,,
33484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226488,,,,,,,,,,,,,,,,,,,,,,,,,,
33482,,,,,,,,,,,,,,,,,,,,,,,,,,,,256311,,,,,,,,,,,,,,,,,,,,,,,,,,,
33472,,14242.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33471,,,,,,,,,,,,202970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33464,,,,,,,,,,,,,,,,,,137391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33463,,,17313.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33462,,,,,,,,,,,,,,,,,187623,,,,,,,,,,,247461,,,,,,,,,,,,,,,,,,,,,,,,,,,
33461,,,,,,,,,,,,,,,121611,,,,,,,,,,,,,,,,,165972,,,,,,,,,,,,,,,,,,,215535,,,,
33460,,,,,,,,,,,,,,,,,,,123797,,,,,,,,,,,,,,,,,,,,,,,,309490,,,,,,,,,,,,
33459,,,,,,,,,,,,,,,,,,,,,,,,,,204659,,,,,,,,,76970.5,,,,,,,,,,,,,,,,,,,,
33456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110499,,,,,,,,,,,,,,,,,,394502,,,
33455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87546.7,,,,,,,,,,,,,,,,,354566,526093,404828
33454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118026,,,,86770.2,,,,,,,,,,,,,,,,,,
33443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248815,,,,,,,,,,,,,,,,,,,,,,,,,,
33440,,,,,,,,,,,216297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358899,,,,,,,,
33435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220474,,,,,,,,,,,,,,,,,,,,,,,,
33430,,,21495.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,264334,,,,,,,
33426,,,,,,,,,,,,,,261569,,,,,,,,,,,,,,,263174,,,,,,,,,,,,,,,,,,,,,,,,,,
33425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107071,,,,,,,,,,,,,,,,,,,,,,,
33424,,,,,,,,,,,,,,,234298,116308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326385,,174667,,,,
33421,,,,,,,,,,,,,,,,,,,87061.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33420,,,,,,,,,,,,,209662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129344,,,,,,,,,,,,,,,,,,,395481,404782,
33413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152732,,,,,,,,,,,,,,,,,,,,
33412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76313.5,108553,,,,,,,,,,,,,,,,,,406370
33409,,,,,,,,,,,,,,,,,,179790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419045,,,
33406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266440,,,,,,,,,,,,,,,,,,,,,321265,,,,,
33405,,,,,,,,,,,,,,,,,,,,,,,,,,,,275635,,,,,,,,,,,,,,,,,,,,,,,,,,,
33404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128500,,,,,,,,,,,,,,,,,,,,,,
33403,,,,,,,,,,,,,,174058,,,223756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196731,,,,,,,,,,,,,,,,,,,,,,,
33400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181965,,,,,,,,,,,,,,,
33399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206405,,,,
33398,,,,,,,,,,,,,,,,,,,,,,,,,290496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33396,,,,,,,,,,,,,,,230793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33394,,,,,,,,,,,,,,,,,,,,,174900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366466,,,,,,,,,,
33390,,,,,,,,,,,,,,,,275517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,557889,,,,,,
33385,,,,,,,,,,,,,,,,,202790,,,,,,,,,,,,,,134393,,,,,,,,,,,,,,,,,373480,,,,152608,,,
33384,,,,,,,,,,,,,,,,,,,95803.2,,,,,,,,,,,,,,,85231,,,,,,,,,,,,,,,,431031,,,,,
33383,,,,,,,,,,,,,,211640,,,,,,,,,,,,,,300711,,,,,,,,,,,,,,,,,,,,,,,,,,,
33382,,,,,,,,,,,,,132441,,,,,,,,,,,,,,,,376494,,,,,,,,,,,,,,,,,,,,,,272169,,,,
33376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56424.8,,,,,,,,,,,,,,,,,,
33370,,,,,,,,,,,,,,,,,,,,,,,,,,,209490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182006,,,,,,,,,,,,,,,,,,,253384,,,,,
33362,,,,,,,,,,,,,,,,,,182760,115574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198795,,
33360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203295,
33359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317585,,,,,,,,,,,,
33357,,,,11839.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33351,,,,,,,,,,,,,,,,,196097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158093,,,,,,,,,,,,,,,,,,,,,,,
33348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234934,,,,,,,,,,,,,
33347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301896,395307,,,
33346,,,,,,,,,,,,,,,217920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,303076,,,,,
33345,,,,,,,,,,,,,244482,,,,,,,,,,,,,,,270000,,,,,221037,,,,,,,,,,,,,,,,,,,,,,
33344,,,,,,,,,,,,,,,,198177,,,,,,,,,,,,,,273059,212938,,,,,,,,,,,,,,,,,,,,,,,,
33343,,,,,,,,,,,,,,,,,,165245,,,,,,,,289041,,,267773,,,,,,,,,,,,,,,,,,,,326077,,,,,,
33342,,,,,,,,,,,,,,149075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289405,359244,,,,,,,
33338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512227,,,,,,,,,,,
33336,,,,,,,,,,,,,,,,,,,,,,,,,,,208535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83113.2,,,,,,,,,,,,,,,,,,
33324,,,,,,,,,,,,,,,,,,,,,,,,,,,,208812,,,,244732,,,,,,,,,,,,,,,,,,,,,,,
33322,,,,,,,,,,,,,219664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33320,,,,,,,,,,,,,,,,,,,,,,,231214,,,,,,,,,,,,,,,,,,,,,,,,394832,,,,,,,,
33319,,,,,,,,,,,,,,198115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368144,,,,,,,,,,
33315,,,,,,,,,,,,,,,,,,,,,,,,,,286784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273232,,,,,,
33311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105347,,,,,,,,,,,,,,,,,,,
33310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540409,,,,,
33309,,,,,,,,,,,,,,,,,,301987,,,,,,,,,,,,,272057,,313437,274186,222890,,,,,,,,,,,,,,,,705834,555220,507834,,
33308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226025,,,,,,,,,,,,,,,,,,,,,,,,418545,290581
33307,,,,,,,,,,,,,,,206491,,,,293935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33306,,,,,,,,,,,,,,,,,335881,,,,,,,,,,,,191951,,,,,,,,,,,,,,,,,,,435713,,,,,,,
33300,,,,,,,,,,,,,,,,188049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33299,,,,,,,,,,,,,129483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507214,,,,,,,,
33297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370131,,,,,,,,,,
33296,,,,,,,,,,,,210481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33294,,24771.9,31746.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484698,,,,,,,,,,,
