"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
27274,0,0,"","C2",448098.333333333,NA,NA,27274,NA,NA,6,NA,NA
27685,0,0,"","C2",537838.453333333,NA,NA,27685,NA,NA,1,NA,NA
28228,0,0,"","CE",NA,104900.666666667,NA,NA,28228,NA,NA,1,NA
29290,29288,1.11140649519151e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H4N3F1 _ no glycan","HILIC",NA,NA,488073.666666667,NA,NA,29290,NA,NA,1
29336,29336,2.23748016642017e-05,"Hex(1)HexNAc(1)NeuAc(1) _ no glycan _ H4N4F2 _ extra modification","HILIC",NA,NA,573602.666666667,NA,NA,29336,NA,NA,1
29440,29441,0.000535915009680725,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N4F2 _ no glycan","HILIC",NA,NA,1445843.33333333,NA,NA,29440,NA,NA,2
29476,29475,3.10454794418776e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H3N4F2 _ no glycan","HILIC",NA,NA,616353.666666667,NA,NA,29476,NA,NA,1
29498,29498,0.000766685698653917,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F1 _ no glycan","HILIC",NA,NA,585270.333333333,NA,NA,29498,NA,NA,1
29520,0,0,"","HILIC",NA,NA,970845.666666667,NA,NA,29520,NA,NA,1
29555,29557,3.49656580250312e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H4N4F2 _ no glycan","HILIC",NA,NA,250992.666666667,NA,NA,29555,NA,NA,2
29602,29603,0.000956008324385352,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N4F2 _ no glycan","HILIC",NA,NA,543610.333333333,NA,NA,29602,NA,NA,2
29606,0,0,"","HILIC",NA,NA,263331.333333333,NA,NA,29606,NA,NA,3
29625,29627,0.000440215900809167,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N4F2 _ extra modification","CE & HILIC",NA,237293.666666667,1385440,NA,29624,29626,NA,7,2
29643,29644,0.00158370868152985,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F2 _ no glycan","HILIC",NA,NA,1036790,NA,NA,29643,NA,NA,2
29654,29653,2.69536080574023e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ no glycan _ H5N4F1 _ no glycan","HILIC",NA,NA,352285.333333333,NA,NA,29654,NA,NA,3
29685,29685,0.00093670555091866,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H3N6F2 _ no glycan","HILIC",NA,NA,1178846.66666667,NA,NA,29685,NA,NA,2
29698,0,0,"","HILIC",NA,NA,293833.333333333,NA,NA,29698,NA,NA,3
29744,29743,2.87217905205613e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H4N4F2 _ extra modification","HILIC",NA,NA,318901.266666667,NA,NA,29744,NA,NA,2
29749,29748,0.00192711784995597,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N4F1S1 _ no glycan","HILIC",NA,NA,2739476.66666667,NA,NA,29749,NA,NA,3
29764,29765,9.0761331091041e-05,"Hex(2)HexNAc(2)NeuAc(2) _ no glycan _ H5N3F2 _ no glycan","HILIC",NA,NA,1228013.33333333,NA,NA,29764,NA,NA,2
29790,29790,0.00207065509375357,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F3 _ no glycan","HILIC",NA,NA,5609040,NA,NA,29790,NA,NA,3
29830,29831,0.00249940859965442,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H3N6F3 _ no glycan","CE & HILIC",NA,1027507,10641126.6666667,NA,29831,29830,NA,4,3
29863,29863,0.000381528240975477,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N6F1 _ no glycan","HILIC",NA,NA,248377.333333333,NA,NA,29863,NA,NA,3
29887,29887,0.0003779558,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N6F1 _ extra modification","HILIC",NA,NA,2561053.33333333,NA,NA,29887,NA,NA,2
29894,29894,0.000485299387611693,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N4F2S1 _ no glycan","HILIC",NA,NA,1839426.66666667,NA,NA,29894,NA,NA,3
29935,29936,0.00193849639187826,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F2S1 _ no glycan","HILIC",NA,NA,3484170,NA,NA,29935,NA,NA,3
29948,29948,0.000163073369436702,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H3N6F3 _ no glycan","HILIC",NA,NA,2657110,NA,NA,29948,NA,NA,2
29969,29968,0.000271924917505007,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ no glycan _ H5N4F1S1 _ no glycan","HILIC",NA,NA,387339.666666667,NA,NA,29969,NA,NA,4
29976,29976,0.001700895,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H4N5F3 _ extra modification","CE & HILIC",NA,386999.666666667,5759173.33333333,NA,29976,29976,NA,4,3
29989,29991,7.159956e-05,"Hex(1)HexNAc(1)NeuAc(1) _ no glycan _ H5N5S2 _ extra modification","HILIC",NA,NA,415567,NA,NA,29989,NA,NA,2
30012,30010,0.000313474385715338,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ no glycan _ H5N4F1S1 _ no glycan","HILIC",NA,NA,821348.666666667,NA,NA,30012,NA,NA,4
30017,30017,0.002053086,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H3N6F3 _ extra modification","CE & HILIC",NA,832730.333333333,12908400,NA,30017,30017,NA,4,3
30050,30052,0.000352677692901791,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ no glycan _ H3N6F3 _ no glycan","HILIC",NA,NA,914506.666666667,NA,NA,30050,NA,NA,4
30068,30069,0.000226643840021508,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ no glycan _ H5N5F2 _ no glycan","HILIC",NA,NA,595853.666666667,NA,NA,30068,NA,NA,2
30071,30069,0.000226643840021508,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ no glycan _ H5N5F2 _ no glycan","CE",NA,167251.5,NA,NA,30071,NA,NA,14,NA
30092,30094,0.00040656598943661,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ no glycan _ H3N6F3 _ no glycan","HILIC",NA,NA,1455376.66666667,NA,NA,30092,NA,NA,4
30115,30113,0.000393762230134024,"Hex(2)HexNAc(2)NeuAc(2) _ no glycan _ H5N4F1S1 _ no glycan","CE",NA,454053.333333333,NA,NA,30115,NA,NA,4,NA
30155,30155,0.000523261342943433,"Hex(1)HexNAc(1)NeuAc(2) _ no glycan _ H5N6F1S1 _ no glycan","HILIC",NA,NA,1016922,NA,NA,30155,NA,NA,4
30168,30166,2.04476e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ no glycan _ H5N6F1 _ extra modification","C2 & HILIC",206241.633333333,NA,341485.333333333,30167,NA,30169,3,NA,2
