"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"24",1312.453,1997.8832,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H3N6F2","H5N2","no glycan",31268.0782,8.49044056246351e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F2 _ H5N2 _ no glycan"
"25",656,2061.921,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N4F3","H5N2","no glycan",30675.663,5.7959959598287e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N4F3 _ H5N2 _ no glycan"
"26",947.323,2061.921,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N4F3","H5N2","no glycan",30966.986,0.000114034064785678,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F3 _ H5N2 _ no glycan"
"27",1021.74,2061.921,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N4F3","H5N2","no glycan",31041.403,6.47787764537674e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N4F3 _ H5N2 _ no glycan"
"28",1063.363,2061.921,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N4F3","H5N2","no glycan",31083.026,7.44012770770449e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N4F3 _ H5N2 _ no glycan"
"29",1143.333,2061.921,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N4F3","H5N2","no glycan",31162.996,1.02520056117919e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F3 _ H5N2 _ no glycan"
"30",1167.423,2061.921,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H5N4F3","H5N2","no glycan",31187.086,1.60907147740418e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H5N4F3 _ H5N2 _ no glycan"
"31",1209.433,2061.921,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N4F3","H5N2","no glycan",31229.096,1.85493369853485e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N4F3 _ H5N2 _ no glycan"
"32",1312.453,2061.921,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N4F3","H5N2","no glycan",31332.116,2.3300239610298e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N4F3 _ H5N2 _ no glycan"
"33",656,2102.9736,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H4N5F3","H5N2","no glycan",30716.7156,1.39387431796662e-05,"Hex(1)HexNAc(1)NeuAc(1) _ H4N5F3 _ H5N2 _ no glycan"
"34",947.323,2102.9736,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H4N5F3","H5N2","no glycan",31008.0386,0.00027423958777707,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N2 _ no glycan"
"35",1021.74,2102.9736,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H4N5F3","H5N2","no glycan",31082.4556,1.55785948565215e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H4N5F3 _ H5N2 _ no glycan"
"36",1063.363,2102.9736,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H4N5F3","H5N2","no glycan",31124.0786,1.78927021447883e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H4N5F3 _ H5N2 _ no glycan"
"37",1143.333,2102.9736,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H4N5F3","H5N2","no glycan",31204.0486,2.46549642701074e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H4N5F3 _ H5N2 _ no glycan"
"38",1167.423,2102.9736,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H4N5F3","H5N2","no glycan",31228.1386,3.86964280801978e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H4N5F3 _ H5N2 _ no glycan"
"39",1209.433,2102.9736,1217.102,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H4N5F3","H5N2","no glycan",31270.1486,4.46091484852411e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H5N2 _ no glycan"
"40",1312.453,2102.9736,1217.102,0,"Hex(2)HexNAc(2)NeuAc(2)","H4N5F3","H5N2","no glycan",31373.1686,5.6034555269467e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H5N2 _ no glycan"
"41",656,2118.973,1217.102,0,"Hex(1)HexNAc(1)NeuAc(1)","H5N5F2","H5N2","no glycan",30732.715,3.16200432085515e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H5N5F2 _ H5N2 _ no glycan"
"42",947.323,2118.973,1217.102,0,"Hex(1)HexNAc(1)NeuAc(2)","H5N5F2","H5N2","no glycan",31024.038,6.22112589580976e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N2 _ no glycan"
"43",1021.74,2118.973,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1)","H5N5F2","H5N2","no glycan",31098.455,3.53400472440246e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H5N5F2 _ H5N2 _ no glycan"
"44",1063.363,2118.973,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H5N5F2","H5N2","no glycan",31140.078,4.05896003422525e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H5N5F2 _ H5N2 _ no glycan"
"45",1143.333,2118.973,1217.102,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H5N5F2","H5N2","no glycan",31220.048,5.5929794062305e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N5F2 _ H5N2 _ no glycan"
