"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
31870,31868,0.0013146665720788,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F3 _ H5N5F2 _ no glycan","HILIC",NA,NA,1855694,NA,NA,31870,NA,NA,6
31874,31875,0.000542516536958144,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H4N4F2 _ extra modification","C2",1292232.5,NA,NA,31874,NA,NA,7,NA,NA
31887,31885,0.000129950021039645,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F2 _ H4N6F1 _ extra modification","C2 & HILIC",1309746.66666667,NA,3972823.33333333,31888,NA,31887,9,NA,6
31891,31893,0.0046986034553241,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H4N5F3 _ no glycan","C2 & CE & HILIC",7092790,2969163.33333333,24060100,31891,31891,31893,11,6,8
31903,31904,0.000225408587320188,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H4N5F1 _ no glycan","C2 & CE & HILIC",1078580,666711.5,1051853,31903,31903,31902,8,4,6
31907,31909,0.00316163086415265,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N5F2 _ no glycan","C2 & HILIC",3903080,NA,14659900,31907,NA,31907,11,NA,7
31917,31918,6.41832960077362e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N4F3 _ H5N5F1 _ no glycan","C2",669153.8,NA,NA,31917,NA,NA,3,NA,NA
31921,31920,8.92251718781427e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F3 _ H5N5F1 _ no glycan","C2",486905.833333333,NA,NA,31921,NA,NA,8,NA,NA
31924,31925,0.000717216059191293,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N5F2 _ no glycan","C2 & HILIC",475683.5,NA,1032929,31924,NA,31925,2,NA,10
31933,31934,0.00567150459679629,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H3N6F3 _ no glycan","C2 & CE & HILIC",11391533.3333333,5070060,33683366.6666667,31933,31933,31934,11,6,8
