,Sample name,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_1_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_2_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo,20210315_HILIC_intact_Andrea_SinoWT_lowres_3_redo
34291,,,,,,,,,,,,,,,,,,589194,755206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245536,,,,,,,,,,,,,,,,,,,,
34261,,,,,,,,,,,,,,,,,,,519791,,,,,,,,,,,,,,,,,,332482,,,,,,,,,,,,,,,,,,
34259,,,,,,,,,,,,,,,,,527237,595851,,,,,,,,,,,,,,,,,464936,,,,,,,,,,,,,,,,,,498042,,
34258,,,,,,,,,,,,,,,,,,,,,,,,,,,,192817,,,,,,,,558467,,,,,,,,,,,,,,,255655,,,492950,468208
34257,,,,,,,,,,,,,,,,540118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298517,,,
34256,,,,,,,,,,,,,,,355685,,,,,,,,,,,,,,,,,,247106,425646,,,,,,,,,,,,,,,,,,,,,
34240,,,,,,,,,,,,,,,,,,,,,,,,,,,225492,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,563976
34225,,,,,,,,,,,,,,,,,,,584754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34224,,,,,,,,,,,,,,,,,,554448,,,,,,,,,,,,,,,,,,,456240,,,,,,,,,,,,,,,,,,
34223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474422,
34222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410511,337585,,,,,,,,,,,,,,,,,,,
34221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420657,,
34220,,,,,,,,,,,,,,,,,486902,,,,,,,,,,,,,,,,,519849,,,,,,,,,,,,,,,,,,,,,
34219,,,,,,,,,,,,,,,,623730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490491,,,
34208,,,,,,139782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206,,,,,,,,,,,,,,,,,,,,,,,,,,268302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34188,,,,,,,,,,,,,,,,,,,868655,,,,,,,,,,,,,,,,,483176,,,,,,,,,,,,,,,,,,,
34187,,,,,,,,,,,,,,,,,,525663,,,,,,,,,,,,,,,,,,,620660,,,,,,,,,,,,,,,,,508908,837294
34186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400675,,
34185,,,,,,,,,,,,,,,,,368992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292238,,,,,,,,,,,,,,,,,,,,
34183,,,,,,,,,,,,,,,207803,,,,,,,,,,,,,,,,,,,301641,,,,,,,,114085,,,,,,,,,,285332,,,
34169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204754,,,,
34162,,,,,,206913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290866,,,,,,,,,,,,,,,,,,,,
34156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293176,,,
34152,,,,,,,,,,,,,,,,358484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34151,,,,,,,,,,,,,,,,,,607949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287834,,,,,,,,,,,,,,,,,,,300531,391641,
34149,,,,,,,,,,,,,,,,,320132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34148,,,,78367.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446665,594799,,,,,,,,,,,,,,,,,,
34147,,,,,,,,,,,,,,,,,,,685612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,816156
34126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191097,,,,
34117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499957,,,,,,,,,,,,,,,,,,
34116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679942
34115,,,,,,,,,,,,,,,,,,,701806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600568,
34114,,,,,,,,,,,,,,,,,848329,753778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34113,,,,,,,,,,,,,,,364625,,,,,,,,,,,,,,,,,,,,,741893,,,,,,,,,,,,,,,,,,,
34112,,,,,,,,,,,,,,,,598251,,,,,,,,,,,,,,,,,,,695917,,,,,,,,,,,,,,,,,,751471,,
34111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545846,,,,,,,,,,,,,,,,,,509883,,,
34079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545123
34078,,,,,,,,,,,,,,,,,,,493784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517133,,,,,,,,,,,,,,,,,,
34076,,,,,,,,,,,,,,,,,,863569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770205,,,,,,,,,,,,,,,,,,672167,
34074,,,,,,,,,,,,,,,,,747153,,,,,,,,,,,,,,,,,,723898,,,,,,,,,,,,,,,,,,632881,,
34072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471621,,,,,,,,,,,,,,,,,339417,,,,
34071,,,,,,,,,,,,,,,,728036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451806,,,
34070,,,,,,,,,,,,,,,643795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462263,,,,,,,,,,,,,,,,,,,,,,
34064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263399,,,,,
34063,,,,,,143369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223759,,,,,
34041,,,,,,,,,,,,,,,,,,638955,601721,,,,,,,,,,,,,,,368055,,458060,790290,,,,,,,,,,,,,,,,536443,,
34040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283052,,559545,762466
34039,,,,,,,,,,,,,,,,399320,446162,,,,,,,,,,,,,,,,,,369118,,,,,,,,,,,,,,,,,,,,
34019,,,,,,,,,,,,,,,,431587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39293.1,,,,,,,,,,,,,,,,,
34010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418526,,,,,,,,,,,,,,,,,,,,
34008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355374,,,,,,,,,,,,,,,,,,,,,
34007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331323,,,
34006,,,,,,,,,,,,,,,330607,,485461,635035,,,,,,,,,,,,,,,210307,,,,,,,,,,,,,,,,,,,,474412,,
34005,,,,129309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581989,,,,,,,,,,,,,,,,,,543395,
34003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764028,,,,,,,,,,,,,,,,,,670595
34002,,,,,,,,,,,,,,,,,,,596930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33969,,,,,,,,,,,,,,,,,,,806441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799109
33968,,,,,,,,,,,,,,,,,,1211360,,,,,,,,,,,,,,,392102,614386,,1143010,805264,,,,,,,,,,,,,,361883,479156,,,
33967,,,,,,,,,,,,,,,,746205,1043850,,,,,,,,,,,,,,,,,,811695,,,,,,,,,,,,,,,,,,895290,1092780,
33966,,,,,,,,,,,,,,,479976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33934,,,,,,,,,,,,,,,,,,,,,50440.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754512,,,,,,,,,,,,,,,,,,
33930,,,,,,,,,,,,,,,,,,,857868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699595
33929,,,,,,,,,,,,,,,,,,1149920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998084,
33928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042320,,,,,,,,,,,,,,,,829018,,,
33927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,973780,,,,,,,,361342,,,,,,,,,,,,
33926,,,,,,,,,,,,,,,,969444,1024040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884532,,
33925,,,,,,,,,,,,,,,429769,,,,,,,,,,,,,,,,,,,934577,,,,,,,,,,,,,,,,,286973,,,,
33922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298437,,,,,,,,,,,,,,,,,,,,,,
33897,,,,,,,,,,,,,,,,,,652253,,,,,,,,,,,,,,,,,577674,,,,,,,,,,,,,,,,,,,,
33896,,,,,,,,,,,,,,,,,,,740937,,,,,,,,,,,,,,,,,,,,,,108820,,,,,,,,,372579,,,,706623,685682
33895,,,,,,,,,,,,,,,,593927,547681,,,,,,,,,,,,,,,348703,,487518,,,739749,,,,,,,,,,,,,,349314,,,,
33894,,,,,,,,,,,,,,,443282,,,,,,,,,,,,,,,,,,,,,664685,,,,,,,,,,,,,,,,390583,,,
33892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471779,,,,,,,,,,,,,,,,,,,,,,
33891,,,,,,,,,,,,,,370871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33890,,,,,,,,,,,,,275348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445174,,
33862,,,,,,,,,,,,,,,,,615551,,,,,,,,,,,,,,,,,600159,,,,,,,,,,,,,,,,284878,,,638010,,
33861,,,,,,,,,,,,,,,,448698,,563383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33860,,,,,,,,,,,,,,293780,,,,,612018,,,,,,,,,,,,,285773,,,559880,,,,,,,,,,,,,,,,399840,495385,,628560,
33859,,,,,,,,,,,,,,,663623,,,,,,,,,,,,,,,,,,,,,783580,,,,,,,,,,,,,,,,,,,
33857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465443,,,,,,,,,,,,,,,,,,,,,,
33856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519949,,,,,,,,,,,,,,,,,,630948
33846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50505,,,,,,,,,,,,,,,,,
33831,,,,,103314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59427.3,,,,,,,,,,,,,,
33824,,,,,,,,,,,,,,,,,,,1199860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008230,,1026450,,,,,,,,,,,,,,,,,,
33822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1277150,,,,,,,,,,,,,,,,,,1565750,943173
33821,,,,,,,,,,,,,,,,1078870,1124390,1453040,,,,,,,,,,,,,,,,915892,,,,,,,,,,,,,,,,,436102,715538,976255,,
33820,,,,,,,,,,,,,,362957,,,,,,,,104314,,,,,,,,,,,414991,,,,,,,,,,,,,,,,,,,,,,
33819,,,,,,,,,,,,,,,514812,,,,,,,,,,,,,,,,,337201,,,,,,,,,,,,,,,,,,329372,,,,,
33807,,,,,,,,,,,,,,,,,,,,,56869.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396690,,,,,,,,,,,,,,,,,,,,,,,
33793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265838,,,,,
33783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460700,1107700,,,,,,,,,,,,,,,,,,983837
33782,,,,,,,,,,,,,,,,,,,1054490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1379640,
33781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678106,1098820,,,,,,,,,,,,,,,,,,,,
33780,,,,,,,,,,,,,,,,,1464330,1487760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,586416,1114560,,
33779,,,,,,,,,,,,,,325195,,784284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33778,,,,,,,,,,,,,,,566475,,,,,,,,,,,,,,,,,,428064,,,,,,,,,,,,,,,,,,,,,,
33777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422917,,,,
33776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390792,,,,,,,,,,,,,,,,,,,,,,,
33773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310076,,,,,
33752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632498
33751,,,,,,,,,,,,,,,,,,618604,,,,,,,,,,,,,,,,,655405,,,,,,,,,,,,,,,,,,,,
33750,,,,,,,,,,,,,,,,,704380,,624799,,,,,,,,,,,,247159,,,,,765587,564013,,,,,,,,,,,,,,,620410,,630960,
33749,,,,,,,,,,,,,,,,626081,,,,,,,,,,,,,,,,,,833453,,,,,,,,,,,,,,,,,,,604261,,
33748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,743474,,,,,,,88441.6,,,,,,,,,,,691025,,,,
33747,,,,,,,,,,,,,,,951354,,,,,,,,,,,,,,,,,467311,,,,,,,,,,,,,,,,,,372067,,,,,
33746,,,,,,,,,,,,,,569684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33742,,,,,,,,,,,,,221187,,,,,,,,,,,,,,,,,,,,,,,,,,,,87054.5,,,,,,,,,,,,,,
33718,,,,,,,,,,,,,,,,,,786445,,,,,,,,,,,,,,,,,642632,,,,,,,,,,,,,,,,,,,,
33717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50638.8,,,,,,,,,,,,,,,,,
33716,,,,,,,,,,,,,,,,,807951,,,,,,,,,,,,,,,,,,,853215,,,,,,,,,,,,,,,,,576428,,
33715,,,,,,,,,,,,,,,596925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832188,
33714,,,,,,,,,,,,,,,,798782,,,,,,,,,,,,,,,,,,676068,,,,,,,,,,,,,,,,,,674341,,,488073
33712,,,,,,,,,,,,,,,,,,,546525,,,,,,,,,,,,,,,,,,482829,,,,,,,,,,,,,,408412,,,,
33710,,,,,,,,,,,,,,456614,,,,,,,,,,,,,,,,,,,449893,,,,,,,,,,,,,,,,,,,,,,
33709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450043,,,,,,,,,,,,,,,,,,,,,,,
33707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472311,,,,,
33706,,,,,,,,,,,,,361850,,,,,,,,,,,,,,,,,,572213,,,,,,,,,,,,,,,,,,,,,,,,
33704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261147,,,,,,
33702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249750,,,,,,,,,,,,
33679,,,,,,,,,,,,,,310266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146190,,,,,,,,,,,,,,,,,,
33677,,,,,,,,,,,,,,,,,,1664830,1016270,,,,,,,,,,,,,,,,,1541810,,,,,,,,,,,,,,,,683303,1298260,,1008940
33676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1108560,,,,,,,,,,,,,,,,507836,,,1565340,
33675,,,,,,,,,,,,,,,,966963,1407350,,,,,,,,,,,,,,,,,773365,,,,,,,,,,,,,,,,,,,,,
33674,,,,,,,,,,,,,,,619170,,,,,,,,,,,,,,,,,,600427,,,,,,,,,,,,,,,,,,,,,,
33670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169807,,,,,,,,
33663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113740,,,,,,,,,,,,,,
33660,,,62498.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74226.4,,,,,,,,,,,,,,,
33655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390935,,,,,
33654,,,,,,,,,,,,,,414886,,,,,,,57575.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288645,,,,,,
33644,,,,,,,,,,,,,,,637075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387113,,,,,,,,,,,,,,,,,,,,,,,
33641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493352,,,,,,,,,,,,,,,,,,379781,,,,
33639,,,,,,,,,,,,,277361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33637,,,,,,,,,,,,,,,,,,,1312820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112550
33636,,,,,,,,,,,,,,,,,,1683820,,,,,,,,,,,,,,,,,,,1232980,,,,,,,,,,,,,,,649488,,,
33635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630390,,,,,,,,,,,,,,,,,,1630200,
33634,,,,,,,,,,,,,,,,880430,1157650,,,,,,,,,,,,,,,,,718786,1067420,,,,,,,,,,,,,,,,,,1015220,,
33621,,,,,,,,,,,,,,,,,,,,69688.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101407,,,,,,,,,,,,,,
33606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626180,,,,,,,,,,,,,,,,,,654891,,
33605,,,,,,,,,,,,,,,,,684036,,610108,,,,,,,,,,,,,,,,,555727,,,,,,,,,,,,,,,,,,663826,523915
33604,,,,,,,,,,,,,,,,,,707876,,,,,,,,,,,,,,,,,,,456999,,,,,,,,,,,,,,782580,,,,
33603,,,,,,,,,,,,,,,932896,1332350,,,,,,,,,,,,,,,,,835371,996229,,,,,,,,,,,,,,,,605663,,979190,,,
33602,,,,,,,,,,,,,,757211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33601,,,,,,,,,,,,,452682,,,,,,,,,,,,,,,,,,,790026,,,,,,,,,,,,,,,,,572723,,,,,,
33600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,509712,,,,,,,,,,,,,,,,,,,,,,,,
33592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216708,,,,,,,
33572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,835762,,,,,,,,,,,,,,,,,,,
33570,,,,,,,,,,,,,,,,,1038400,932944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869605,732336,
33569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766846,,565444,,,,,,,,,,,,,,,,,,
33568,,,,,,,,,,,,,,,,985530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561692
33567,,,,,,,,,,,,,,,,,,,587146,,,,,,,,,,,,,,,783733,,,,,,,,,,,,,,,,,,696560,,,
33565,,,,,,,,,,,,,329686,,,,,,,,,,,,,,,,,,,,946876,,,,,,,,,,,,,,,,,,,,,,
33563,,,,,,,,,,,,,,,1324510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,929439,,,,,,,,,,,,,,,,,,,,,,,
33561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793294,925540,,,,
33560,,,,,,,,,,,,,,1045190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443552,,,,,,
33556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407482,,,,,,,,,,,,,,,,,,,,,,,,
33548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152892,,,,,,,,
33546,,,,,,,,,,,,,,,,,,,,,,,,132229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250103,379234,,,,,,,,,,,,,,,,,,,,,,,,
33532,,,,,,,,,,,,,,,,,,1589690,1010690,,,,,,,,,,,,,,,,,1464860,,,,,,,,,,,,,,,,,,,907118
33531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,941041,,,,,,,,,,,,,,,,1261330,1241990,
33530,,,,,,,,,,,255240,,,,,1180660,1169850,,,,,,,,,,,,,,,,,,986680,,,,,,,,,,,,,,,,,,,,
33529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,569473,,,,,,,,,,,,,,,,,,593088,909924,,,
33528,,,,,,,,,,,,,,457931,781613,,,,,,,,,,,,,,,,,,,1035750,,,,,,,,,,,,,,,,,,,,,
33527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,530178,,,,,,,,,,,,,,,,,,,,,,,
33524,,,,,,,,,,198040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181529,,,,,,,,,,,,,,,,,,,,,,,,,,
33513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70737.6,,,,,,,,,,,,,,,,
33508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359020,,,,,,,
33505,,,,,,,,,,236230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295890,,,,,,,,,,,,,,,,,,,,,,,,,
33499,,,,,,,,,,,,,,597446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552219,580179,,,,,,,,,,,,,,,,395381,,,,,,
33497,,,,,,,,,,,,324989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,673540,,,,,
