"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
27027,0,0,"","C2",844742,NA,NA,27027,NA,NA,14,NA,NA
27033,0,0,"","CE",NA,179402,NA,NA,27033,NA,NA,10,NA
27037,0,0,"","CE",NA,123011.75,NA,NA,27037,NA,NA,8,NA
27058,0,0,"","C2",2081472.5,NA,NA,27058,NA,NA,6,NA,NA
27065,0,0,"","CE",NA,205024.5,NA,NA,27065,NA,NA,7,NA
27093,0,0,"","C2",3233985,NA,NA,27093,NA,NA,8,NA,NA
27107,0,0,"","CE",NA,71423.5,NA,NA,27107,NA,NA,15,NA
27120,0,0,"","C2",667839,NA,NA,27120,NA,NA,2,NA,NA
27140,0,0,"","C2 & CE",635870.5,107676.766666667,NA,27140,27140,NA,18,11,NA
27159,0,0,"","CE",NA,131710,NA,NA,27159,NA,NA,14,NA
27163,0,0,"","C2",1957066,NA,NA,27163,NA,NA,7,NA,NA
27183,0,0,"","C2",1169559.33333333,NA,NA,27183,NA,NA,9,NA,NA
27186,0,0,"","CE",NA,76992.35,NA,NA,27186,NA,NA,18,NA
27195,0,0,"","CE",NA,201886,NA,NA,27195,NA,NA,12,NA
27208,0,0,"","CE",NA,149569.3,NA,NA,27208,NA,NA,18,NA
27246,0,0,"","CE",NA,80332.0666666667,NA,NA,27246,NA,NA,13,NA
27251,0,0,"","C2",746110,NA,NA,27251,NA,NA,17,NA,NA
27265,0,0,"","C2",749894,NA,NA,27265,NA,NA,13,NA,NA
27279,0,0,"","CE",NA,76952.875,NA,NA,27279,NA,NA,1,NA
27324,0,0,"","CE",NA,137516.666666667,NA,NA,27324,NA,NA,14,NA
27334,0,0,"","C2",496200.5,NA,NA,27334,NA,NA,18,NA,NA
27340,0,0,"","CE",NA,144171,NA,NA,27340,NA,NA,17,NA
27360,0,0,"","C2",1346227.5,NA,NA,27360,NA,NA,7,NA,NA
27382,0,0,"","C2",1409783.33333333,NA,NA,27382,NA,NA,6,NA,NA
27387,0,0,"","C2",1232030,NA,NA,27387,NA,NA,16,NA,NA
27406,0,0,"","C2",827255.666666667,NA,NA,27406,NA,NA,2,NA,NA
27418,0,0,"","CE",NA,103673,NA,NA,27418,NA,NA,3,NA
27421,0,0,"","C2",1409920,NA,NA,27421,NA,NA,6,NA,NA
27434,0,0,"","CE",NA,78418.9,NA,NA,27434,NA,NA,18,NA
27454,0,0,"","C2 & CE",1108352,66842,NA,27455,27453,NA,18,18,NA
27462,0,0,"","CE",NA,87094.8,NA,NA,27462,NA,NA,4,NA
27483,0,0,"","C2 & CE",910090,68142.7,NA,27484,27482,NA,16,19,NA
27488,0,0,"","CE",NA,120901.6,NA,NA,27488,NA,NA,13,NA
27492,0,0,"","C2",2106530,NA,NA,27492,NA,NA,4,NA,NA
27525,0,0,"","C2",2369240,NA,NA,27525,NA,NA,4,NA,NA
27555,0,0,"","CE",NA,100847,NA,NA,27555,NA,NA,9,NA
27558,0,0,"","C2",1593780,NA,NA,27558,NA,NA,11,NA,NA
27566,0,0,"","C2",1800974,NA,NA,27566,NA,NA,5,NA,NA
27569,0,0,"","C2",846778,NA,NA,27569,NA,NA,14,NA,NA
27581,0,0,"","CE",NA,133797,NA,NA,27581,NA,NA,12,NA
27587,0,0,"","CE",NA,128862.7,NA,NA,27587,NA,NA,15,NA
27608,0,0,"","C2 & CE",1452635,68978,NA,27608,27609,NA,3,19,NA
27613,0,0,"","C2",2520645,NA,NA,27613,NA,NA,4,NA,NA
27617,0,0,"","C2 & CE",1900050.5,144283,NA,27617,27617,NA,6,12,NA
27631,0,0,"","C2",1467077,NA,NA,27631,NA,NA,14,NA,NA
27652,0,0,"","C2",1571407.33333333,NA,NA,27652,NA,NA,5,NA,NA
27674,0,0,"","C2 & CE",1539994,113168.4,NA,27674,27675,NA,18,15,NA
27699,0,0,"","CE",NA,165735.5,NA,NA,27699,NA,NA,12,NA
27709,0,0,"","C2 & CE",1931410,60906.45,NA,27709,27710,NA,9,19,NA
27720,0,0,"","CE",NA,171983,NA,NA,27721,NA,NA,9,NA
27730,0,0,"","CE",NA,67012.95,NA,NA,27730,NA,NA,3,NA
27754,0,0,"","CE",NA,84843.5,NA,NA,27754,NA,NA,16,NA
27765,0,0,"","C2",795255,NA,NA,27765,NA,NA,17,NA,NA
27768,0,0,"","C2",1547900,NA,NA,27768,NA,NA,15,NA,NA
27773,0,0,"","C2",1797147,NA,NA,27773,NA,NA,9,NA,NA
27808,0,0,"","C2 & CE",1011470.5,94936.25,NA,27808,27806,NA,3,16,NA
27811,0,0,"","CE",NA,75236.35,NA,NA,27811,NA,NA,18,NA
27815,0,0,"","C2",1063910,NA,NA,27815,NA,NA,13,NA,NA
27835,0,0,"","CE",NA,97371.85,NA,NA,27835,NA,NA,13,NA
27846,0,0,"","CE",NA,92870.95,NA,NA,27846,NA,NA,14,NA
27856,0,0,"","C2",1629550,NA,NA,27856,NA,NA,11,NA,NA
27879,0,0,"","CE",NA,79043.1,NA,NA,27879,NA,NA,19,NA
27883,0,0,"","C2",583063.5,NA,NA,27883,NA,NA,2,NA,NA
27887,0,0,"","CE",NA,163612,NA,NA,27887,NA,NA,16,NA
27898,0,0,"","CE",NA,31862.66,NA,NA,27898,NA,NA,1,NA
27908,0,0,"","C2",1583480,NA,NA,27908,NA,NA,16,NA,NA
27920,0,0,"","C2",1573170,NA,NA,27920,NA,NA,11,NA,NA
27930,0,0,"","CE",NA,112859.3,NA,NA,27930,NA,NA,16,NA
27948,0,0,"","C2",2065270,NA,NA,27948,NA,NA,10,NA,NA
27954,0,0,"","CE",NA,106528.5,NA,NA,27954,NA,NA,16,NA
27957,0,0,"","CE",NA,117832.5,NA,NA,27957,NA,NA,9,NA
27962,0,0,"","CE",NA,137444,NA,NA,27962,NA,NA,12,NA
27992,0,0,"","CE",NA,121440.05,NA,NA,27992,NA,NA,17,NA
28000,0,0,"","CE",NA,146223.4,NA,NA,28000,NA,NA,20,NA
28005,0,0,"","CE",NA,85354.7,NA,NA,28005,NA,NA,14,NA
28009,0,0,"","CE",NA,111804,NA,NA,28009,NA,NA,11,NA
28037,0,0,"","CE",NA,98840.4,NA,NA,28037,NA,NA,14,NA
28042,0,0,"","CE",NA,118698.15,NA,NA,28042,NA,NA,16,NA
28055,0,0,"","C2",1339920,NA,NA,28055,NA,NA,12,NA,NA
28061,0,0,"","C2 & CE",1017344,64549.3,NA,28060,28062,NA,15,15,NA
28066,0,0,"","CE",NA,117909.5,NA,NA,28066,NA,NA,14,NA
28089,0,0,"","CE",NA,106149.5,NA,NA,28089,NA,NA,10,NA
28103,0,0,"","CE",NA,59285,NA,NA,28103,NA,NA,19,NA
28110,0,0,"","CE",NA,174531.666666667,NA,NA,28110,NA,NA,6,NA
28125,0,0,"","C2",581633,NA,NA,28125,NA,NA,2,NA,NA
28132,0,0,"","HILIC",NA,NA,227752,NA,NA,28132,NA,NA,16
28147,0,0,"","CE",NA,88449.85,NA,NA,28147,NA,NA,14,NA
28156,0,0,"","CE",NA,71185.9,NA,NA,28156,NA,NA,20,NA
28189,0,0,"","HILIC",NA,NA,157537.5,NA,NA,28189,NA,NA,18
28193,0,0,"","C2 & CE",2299355,54006.65,NA,28193,28193,NA,11,19,NA
28199,0,0,"","CE & HILIC",NA,170710.75,298775,NA,28200,28198,NA,5,4
28204,0,0,"","C2",95581.15,NA,NA,28204,NA,NA,1,NA,NA
28222,0,0,"","C2 & CE",1763515,157199,NA,28222,28220,NA,8,10,NA
28229,0,0,"","CE & HILIC",NA,146095,199135,NA,28228,28230,NA,12,4
28240,0,0,"","C2",499127.5,NA,NA,28240,NA,NA,2,NA,NA
28243,0,0,"","C2",1316413,NA,NA,28243,NA,NA,12,NA,NA
28249,0,0,"","CE",NA,54315.8,NA,NA,28249,NA,NA,19,NA
28257,0,0,"","CE & HILIC",NA,108566,193812,NA,28257,28257,NA,11,16
28288,0,0,"","CE",NA,82452.05,NA,NA,28288,NA,NA,18,NA
28313,0,0,"","CE",NA,97993.9666666667,NA,NA,28313,NA,NA,20,NA
28327,0,0,"","C2",774454.5,NA,NA,28327,NA,NA,17,NA,NA
28356,0,0,"","C2",1180651.5,NA,NA,28356,NA,NA,17,NA,NA
28373,0,0,"","CE",NA,107869.95,NA,NA,28373,NA,NA,17,NA
28382,0,0,"","C2 & CE & HILIC",712123,79594.8333333333,142443,28383,28382,28381,16,20,18
28408,0,0,"","HILIC",NA,NA,195583.666666667,NA,NA,28408,NA,NA,5
28415,0,0,"","C2",1062222.66666667,NA,NA,28415,NA,NA,17,NA,NA
28426,0,0,"","C2",991887.5,NA,NA,28426,NA,NA,2,NA,NA
28437,0,0,"","HILIC",NA,NA,200616,NA,NA,28437,NA,NA,13
28468,0,0,"","CE",NA,117550.9,NA,NA,28468,NA,NA,15,NA
