"","1","2","3","4","Glycan1","Glycan2","Glycan3","Glycan4","mass","probability","Glycan"
"23",1209.433,1972.83,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H5N5F1","H3N4F1","no glycan",31416.5232,4.02194267592053e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H5N5F1 _ H3N4F1 _ no glycan"
"24",1312.453,1972.83,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H5N5F1","H3N4F1","no glycan",31519.5432,6.90297359102257e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F1 _ H3N4F1 _ no glycan"
"25",656,1997.8832,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(1)","H3N6F2","H3N4F1","no glycan",30888.1434,1.3327220583831e-06,"Hex(1)HexNAc(1)NeuAc(1) _ H3N6F2 _ H3N4F1 _ no glycan"
"26",947.323,1997.8832,1445.3502,0,"Hex(1)HexNAc(1)NeuAc(2)","H3N6F2","H3N4F1","no glycan",31179.4664,8.39911465317927e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F2 _ H3N4F1 _ no glycan"
"27",1021.74,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1)","H3N6F2","H3N4F1","no glycan",31253.8834,4.4569315549221e-06,"Hex(2)HexNAc(2)NeuAc(1) _ H3N6F2 _ H3N4F1 _ no glycan"
"28",1063.363,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl","H3N6F2","H3N4F1","no glycan",31295.5064,3.33877206739706e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F2 _ H3N4F1 _ no glycan"
"29",1143.333,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation","H3N6F2","H3N4F1","no glycan",31375.4764,1.51525905552544e-06,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H3N6F2 _ H3N4F1 _ no glycan"
"30",1167.423,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1)","H3N6F2","H3N4F1","no glycan",31399.5664,3.10121549882509e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) _ H3N6F2 _ H3N4F1 _ no glycan"
"31",1209.433,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl","H3N6F2","H3N4F1","no glycan",31441.5764,5.16602425408554e-06,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F2 _ H3N4F1 _ no glycan"
"32",1312.453,1997.8832,1445.3502,0,"Hex(2)HexNAc(2)NeuAc(2)","H3N6F2","H3N4F1","no glycan",31544.5964,8.86659305465425e-06,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F2 _ H3N4F1 _ no glycan"
