"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
32255,32257,0.0004005167,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H5N6F1 _ extra modification","C2",7764436.66666667,NA,NA,32255,NA,NA,3,NA,NA
32264,32266,0.003291414,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N7F2 _ extra modification","C2 & CE",9778803.33333333,895281.333333333,NA,32264,32265,NA,6,5,NA
32267,32266,0.003291414,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H3N7F2 _ extra modification","HILIC",NA,NA,1217237.33333333,NA,NA,32267,NA,NA,11
32271,32272,0.003757924,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N4F2S1 _ extra modification","C2 & CE",13249166.6666667,711019,NA,32272,32270,NA,8,8,NA
32275,32274,8.887873e-05,"Hex(2)HexNAc(2)NeuAc(1) _ H4N5F3 _ H5N6F1 _ extra modification","HILIC",NA,NA,1631814,NA,NA,32275,NA,NA,8
32285,32287,0.0009258398,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H4N5F2 _ extra modification","C2 & CE & HILIC",12292800,570536.666666667,1448227.33333333,32284,32285,32286,4,6,7
32289,32288,0.00546714,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N5F1S1 _ extra modification","C2",2285553.33333333,NA,NA,32289,NA,NA,10,NA,NA
32295,32295,0.000445767065977315,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N4F1S2 _ no glycan","C2",1822077,NA,NA,32295,NA,NA,15,NA,NA
32299,32299,0.0001838725,"Hex(2)HexNAc(2)NeuAc(1) _ H3N6F3 _ H4N6F2 _ extra modification","C2",10355350,NA,NA,32299,NA,NA,3,NA,NA
32303,32304,0.001495163,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N5F1S1 _ extra modification","CE",NA,390829.366666667,NA,NA,32303,NA,NA,13,NA
32306,32304,0.001495163,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H5N5F1S1 _ extra modification","CE & HILIC",NA,1463606.66666667,1389883.33333333,NA,32307,32306,NA,4,10
32313,32313,0.003657315,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H3N6F3 _ extra modification","C2 & CE",10339420,889358.333333333,NA,32314,32312,NA,8,8,NA
32320,32321,0.000462888434197329,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N5F1S1 _ no glycan","C2 & HILIC",5196260,NA,2121170,32321,NA,32320,5,NA,7
32337,32335,0.001159814,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F3 _ H5N4F1S2 _ extra modification","C2 & CE",5982650,405625.333333333,NA,32337,32337,NA,10,10,NA
32341,32340,0.0001746566,"Hex(2)HexNAc(2)NeuAc(1) _ H3N6F3 _ H3N7F2 _ extra modification","HILIC",NA,NA,1443373.33333333,NA,NA,32341,NA,NA,10
32348,32346,0.001469094,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N6F2 _ extra modification","CE",NA,665244.333333333,NA,NA,32348,NA,NA,4,NA
32358,32360,0.0001164092,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H5N6 _ extra modification","HILIC",NA,NA,1914440,NA,NA,32358,NA,NA,6
32363,32361,0.000727415,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N5F2 _ extra modification","C2 & CE",8297666.66666667,707578.333333333,NA,32362,32364,NA,7,6,NA
32374,32376,0.003472049,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N4F1S2 _ extra modification","C2 & CE & HILIC",7273186.66666667,361417.666666667,981168,32374,32375,32372,9,10,12
32379,32379,0.000124384310832628,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N6F2 _ no glycan","HILIC",NA,NA,1073887,NA,NA,32379,NA,NA,11
32383,32382,0.0001308386,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl _ H3N6F3 _ H3N7F2 _ extra modification","CE",NA,556296.666666667,NA,NA,32383,NA,NA,8,NA
32394,32392,0.00130355,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N5F1S1 _ extra modification","HILIC",NA,NA,1025338.33333333,NA,NA,32394,NA,NA,8
32402,32402,0.0005628161,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H4N6F2 _ extra modification","C2",512696.666666667,NA,NA,32402,NA,NA,2,NA,NA
32406,32405,0.0002845403,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H5N5F2 _ extra modification","C2 & CE & HILIC",2969939,874959,1106380,32407,32406,32406,14,4,9
32411,32409,0.000726727506395951,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H5N5F1S1 _ no glycan","HILIC",NA,NA,1560520,NA,NA,32411,NA,NA,11
32416,32417,0.003361205,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N4F1S2 _ extra modification","C2",5670450,NA,NA,32416,NA,NA,7,NA,NA
32421,32421,9.21685032465097e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N6F1 _ no glycan","CE",NA,387739.333333333,NA,NA,32421,NA,NA,2,NA
32425,32427,0.000169078575519195,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F3 _ H5N5F1S1 _ no glycan","CE & HILIC",NA,639963.333333333,1380660,NA,32426,32425,NA,5,10
32430,32430,0.0004365692,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H4N5F3 _ H3N6F3 _ extra modification","C2 & HILIC",9669626.66666667,NA,1396316.66666667,32429,NA,32431,4,NA,8
32433,32433,0.002817036,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N5F1S1 _ extra modification","CE",NA,260820.666666667,NA,NA,32433,NA,NA,14,NA
32450,32449,0.00114203,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H5N5F2 _ extra modification","C2 & CE & HILIC",5136656.66666667,504179.333333333,1365050,32450,32449,32452,11,8,11
32466,32468,0.000409010949956503,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N6F1S1 _ no glycan","C2 & CE",6794580,550158,NA,32466,32466,NA,7,6,NA
32470,32471,0.0004226319,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H3N6F3 _ extra modification","C2 & HILIC",10316383.3333333,NA,1518820,32471,NA,32470,4,NA,9
32482,32480,0.0008278531,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N4F1S2 _ extra modification","CE",NA,193992,NA,NA,32482,NA,NA,14,NA
32491,32491,0.001087094,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H5N6F1S1 _ extra modification","C2 & CE & HILIC",4490296.66666667,597116,1198033.33333333,32492,32491,32491,5,4,10
32501,32503,9.973039e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N6F1 _ extra modification","C2",1829723.33333333,NA,NA,32501,NA,NA,13,NA,NA
32504,32506,0.0008596499,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N5F1S1 _ extra modification","HILIC",NA,NA,734457,NA,NA,32504,NA,NA,7
32507,32506,0.0008596499,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N5F1S1 _ extra modification","C2 & HILIC",4381836.66666667,NA,876716.333333333,32507,NA,32507,7,NA,9
32510,32508,0.0005784722,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N6F2 _ extra modification","CE",NA,470641.666666667,NA,NA,32510,NA,NA,8,NA
32515,32515,0.000130200282251645,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F1S2 _ H5N4F3 _ no glycan","CE",NA,325612.666666667,NA,NA,32515,NA,NA,13,NA
32519,32521,0.001789032,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N4F1S2 _ extra modification","HILIC",NA,NA,1032349.33333333,NA,NA,32519,NA,NA,11
32522,32521,0.001789032,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N4F1S2 _ extra modification","C2 & CE",5520233.33333333,274519.666666667,NA,32523,32522,NA,8,9,NA
32529,32531,0.0008393247,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H3N7F2 _ extra modification","CE",NA,509933.666666667,NA,NA,32529,NA,NA,4,NA
32533,32532,0.001052389,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N6F1S1 _ extra modification","CE & HILIC",NA,273137.333333333,1192882.33333333,NA,32533,32533,NA,7,10
32547,32549,0.0005600047,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N6F2 _ extra modification","HILIC",NA,NA,715788.333333333,NA,NA,32547,NA,NA,8
32550,32549,0.0005600047,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N6F2 _ extra modification","CE & HILIC",NA,442725,897440,NA,32550,32551,NA,7,7
32556,32556,0.000387168911651137,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5F1S2 _ no glycan","C2 & CE & HILIC",5531413.33333333,414944.666666667,1532660,32556,32556,32558,9,9,12
32562,32564,0.0002309994,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N6F2 _ extra modification","CE & HILIC",NA,407770.666666667,1136449,NA,32561,32563,NA,10,11
32566,32564,0.0002309994,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6S1 _ H5N6F2 _ extra modification","CE",NA,338402.333333333,NA,NA,32566,NA,NA,3,NA
32571,32572,0.000149866931930178,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F1S2 _ H5N5F2 _ no glycan","CE & HILIC",NA,510990.666666667,1167898.66666667,NA,32572,32570,NA,7,10
32576,32578,0.0008689114,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H4N5F2S1 _ extra modification","CE & HILIC",NA,359680.333333333,1307176.33333333,NA,32576,32576,NA,8,9
32583,32581,4.835564e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H5N5F2 _ H5N6F1 _ extra modification","CE",NA,483792.333333333,NA,NA,32583,NA,NA,4,NA
32599,32597,0.000374808698978617,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N5F1S2 _ no glycan","C2 & CE & HILIC",5274390,410269.333333333,1482000,32599,32599,32599,7,8,11
32610,32612,0.0003140031,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F3 _ H5N5F1S1 _ extra modification","C2",3838863.33333333,NA,NA,32610,NA,NA,8,NA,NA
32614,32612,0.0003140031,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F3 _ H5N5F1S1 _ extra modification","HILIC",NA,NA,1000351.33333333,NA,NA,32614,NA,NA,9
32618,32620,0.0009901505,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N5F1S2 _ extra modification","HILIC",NA,NA,1028539.33333333,NA,NA,32618,NA,NA,8
32626,32625,0.0004979351,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F1S2 _ H5N4F1S2 _ extra modification","C2",2097416.66666667,NA,NA,32626,NA,NA,12,NA,NA
32629,32631,0.0003474608,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H3N7F2 _ extra modification","CE & HILIC",NA,369235.666666667,478336.333333333,NA,32629,32630,NA,13,12
32633,32631,0.0003474608,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H3N7F2 _ extra modification","C2 & CE & HILIC",2527493,435207.666666667,977682.666666667,32633,32632,32634,18,9,11
32647,32649,8.747453e-05,"Hex(2)HexNAc(2)Fuc(1)NeuAc(1) + Acetyl _ H3N6F3 _ H5N6F2 _ extra modification","C2",2276468.66666667,NA,NA,32647,NA,NA,4,NA,NA
32656,32655,0.000184581673606355,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N6F2S1 _ no glycan","HILIC",NA,NA,625754,NA,NA,32656,NA,NA,7
32667,32669,0.0002077345,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H6N6F1S1 _ extra modification","C2 & CE & HILIC",2845216.66666667,317287.666666667,1254040,32667,32667,32669,11,12,12
32671,32669,0.0002077345,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5F2 _ H6N6F1S1 _ extra modification","C2",2711130,NA,NA,32671,NA,NA,6,NA,NA
32677,32678,0.0007608638,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H5N6F2S1 _ extra modification","CE",NA,405528,NA,NA,32677,NA,NA,9,NA
32689,32688,3.28821674429228e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H4N5F3 _ H6N6F2 _ no glycan","C2 & CE",1263353,568881,NA,32690,32689,NA,3,6,NA
32704,32702,4.33982675550173e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H5N4F2S1 _ H5N6F3S1 _ no glycan","CE & HILIC",NA,301734.333333333,1097555.66666667,NA,32704,32704,NA,14,12
32708,32710,0.0001816375,"Hex(1)HexNAc(1)NeuAc(2) _ H4N6F2 _ H6N6F1S1 _ extra modification","C2 & CE & HILIC",4281680,174024.2,1322277.66666667,32708,32710,32708,13,8,11
32715,32717,0.000177110870472762,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F1S2 _ H5N5F1S1 _ no glycan","C2",2954086.66666667,NA,NA,32715,NA,NA,11,NA,NA
32725,32724,0.0005270165,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H5N5F1S2 _ extra modification","HILIC",NA,NA,750169,NA,NA,32725,NA,NA,7
32743,32741,0.000719028,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5F1S2 _ extra modification","CE & HILIC",NA,452200.333333333,684078.333333333,NA,32744,32743,NA,7,13
32747,32745,1.010288e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H3N6F3 _ H6N6F2 _ extra modification","HILIC",NA,NA,1165031,NA,NA,32747,NA,NA,11
32752,32752,0.000150135,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H5N6F2 _ extra modification","CE",NA,318429.333333333,NA,NA,32752,NA,NA,5,NA
32758,32757,0.0002783243,"Hex(1)HexNAc(1)NeuAc(2) _ H6N5F1S2 _ H5N5F2 _ extra modification","C2 & CE & HILIC",1286550,365937.333333333,909773.333333333,32760,32758,32758,3,4,10
32774,32774,0.000100969831953404,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H6N6F1S1 _ no glycan","CE",NA,340190.666666667,NA,NA,32774,NA,NA,8,NA
32779,32781,0.0001631257,"Hex(1)HexNAc(1)NeuAc(2) _ H5N6F1S2 _ H4N5F2S1 _ extra modification","C2 & HILIC",3132470,NA,826827.666666667,32779,NA,32779,8,NA,12
32783,32782,0.0006960733,"Hex(1)HexNAc(1)NeuAc(2) _ H3N6F3 _ H6N5F1S2 _ extra modification","CE",NA,341844.666666667,NA,NA,32783,NA,NA,5,NA
32789,32790,2.434839e-05,"Hex(2)HexNAc(2)NeuAc(1) + Acetyl + sulfation _ H5N5S2 _ H5N5F1S1 _ extra modification","C2",4082466.66666667,NA,NA,32789,NA,NA,7,NA,NA
32799,32798,0.0003913925,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F2S1 _ H6N6F1S1 _ extra modification","HILIC",NA,NA,783668,NA,NA,32799,NA,NA,10
32815,32814,0.0001428036,"Hex(1)HexNAc(1)NeuAc(2) _ H5N5S2 _ H6N6F2 _ extra modification","HILIC",NA,NA,1136623.33333333,NA,NA,32815,NA,NA,12
32819,32817,4.51623381746122e-05,"Hex(2)HexNAc(2)NeuAc(2) _ H3N6F3 _ H6N5F2S1 _ no glycan","C2 & CE",2194190,389161.333333333,NA,32820,32818,NA,12,7,NA
32849,32847,8.189093e-05,"Hex(1)HexNAc(1)NeuAc(2) _ H4N5F3 _ H6N5F1S3 _ no glycan","C2",4352886.66666667,NA,NA,32849,NA,NA,11,NA,NA
