,Sample name,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35744,,,,,,,,,,,,,,,,,,,,,,98280.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126451,,,,,,,,,,,,,,,,,,,,,,
35720,,,,,,,,,161518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35718,,,,,,,,,,,,,,,,69461.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35711,,,,,,,,,,128881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35704,,,,,112391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35703,,,,,,,,,,,,,,,111564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115419,,,,,,,,,,,,,,,,,,,,,,,,
35675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168188,,,,,,,,,,,,
35673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197677,,,,,,,
35650,,,,,,93832.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48280.9,
35598,,,,,,,,,,,,,,,,,,,,,,,137881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66140.7,,
35586,,,,,,,,,,,,,161447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72579.5,
35555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125113,,,,,,,
35542,,2834.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35534,,,,129159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60958.6,,,,,,,,,,,,,,,,,,
35507,,1603.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59062.9,,,,,,,,,,,,,,,,,,,
35489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91795.8,,,,,
35478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112883,,,,,,,,
35466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359956,,,,,,,,,,,,,
35462,,,,108141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35458,,,,,,,,,,,,,,,,,,,,,,,,168888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95932.2,,,,,,
35442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34414.6,,,,,,,,,,,,,,,,
35440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178235,,,,,,,,,,,,,
35438,,,,,,,,,142517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69179.4,,,,,,,,,,,,,,,,,
35431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126715,,,,,,,,,,,,,,,,,,,,,,
35424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113744,,,,,,,,,,,,,,,,,,,,,,,
35420,,,,,,,,,,,115653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35417,,,,,,,,,,,,,,,,,,,,,,,,,146198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165237,,,,,,,,,,,,,,
35409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50070.8,,,,,,,,,,,,,,,,,
35399,,,,,,,,,,,,,,,,,,,,,,,,,,,143287,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35398,,,,,,,,,,,,,,,,,,,,,,,140478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35396,,1671.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149476,,,,,,,,,,,,,,
35384,,,,,,,,,,,,,,,,,,,,50062.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45492.9,,,,,,,,,,,,,,,,,
35355,,,,,,,,,,,,,,,,,,,,,,,,,,,185888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35329,,,,,,,,109737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103920,,,,,,,,,,,,,,,
35308,,,,,,,,,,,,,,,,,,,63241.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51026.3,,,,,,,,,,,,,,,,
35295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191401,,,,,,,,,,,,,,
35291,,,,,,,,,,,,,,,,,,,,,43157.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
