,Sample name,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_1,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_2,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3,20210304_CE_45min_SinoN501Y_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
34696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125876,,
34691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53581.9,,,,,,,,,,,,,,,,
34688,,,,,,,,,,,,,,,,,,,,48304.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64808,,,
34664,,,,,,,,,,,,,,,,,,,51833.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85484.4,,
34649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146389,,,,,,,,,,,,,,,,,,,,
34645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64051.1,
34637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47898.6
34636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54744.7,,,,,,,,,,,,,,,,,
34632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83499,,,,,,,,,,,,,,,,,,
34629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122207,,,,,,
34625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34869.2,,,,,,,,,,,,,,,,
34621,,,,,,,,,,,,,,,,,,,,,46537.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78059,,,,,,,,,,,,,,,,,,,,,,
34607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51141.5
34605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79435.4,,,,,,,,,,,,,,,,,,
34599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41485,,,,,,,,,,,,,,,,
34594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76532.4,,,,,,,,,,,,,,,,,,,
34593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75806.9,,
34572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71197.3,,,,,,,,,,,,,,,,,,
34570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73239.2,,
34568,,,51655.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85835.2,,,,,,,,,,,,,,,,,
34559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50160.3,
34558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67686.6,,,,,,,,,,,,,,,,
34555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109073,,,,,,
34554,,,,,,,,,,,,,,,,,,,95281.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34553,,2397.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70882.7,,,83590.2
34535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126866,,,,
34532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50375.5,,
34524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61564.8,,,,,,,,,,,,,,,,,
34522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77585.7,,,,,,,,,,,,,,,,,,,
34506,,,,,,,,,,,,,,,,,,,,,114812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82015.8,,,
34505,,,,,,,,,,,,,,,,63045.5,,,,,,,,,,,,,,,,,,,,,,,71969,,,,,,,,,,,,,,,,
34500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63017.3,,,,,,,,,,,,,,,,,,
34496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108643,,,,,,,,,,,,,,,,,
34495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86324.3,,
34493,,,,,,,,,,,,,,,,,71214.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105543,,,,
34485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107356,,,
34483,,,,,,,,,,,,,,,,,,,,53443.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34481,,,48748.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34478,,,,,,,,,,,,,,,,,,60521.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105688,,,,,
34476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94326.1,,,,,,,,,,,,,,,,,,
34474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54522.6,
34461,,,,,,,,,,,,,,,,,,,68980.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108741,,
34449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76876.2,,,,,,,,,,,,,,,,,,,,
34448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98301.6,,,,
34447,,,,,,,,,,,,,,,,,,,,,95894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67002.6,,,,,,,,,,,,,,,,,,
34440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142003,,,,,,
34427,,,,,,,,,,,,,,,,,,,,,80475.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73797.8,,,,,,,,,,,,,,,,,,
34421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56209,,,,,,,,,,,,,,,,,,,
34420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54228.8,
34403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76627.6,,,,,,,,,,,,,,73376.6,,,,
34396,,,,,,,,,,,,,,,,,,77813.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78187.9,,,,,,,,,,,,,,,,,,,
34392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99528.3,,,,,,
34386,,,,94829.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65253,
34380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86312.5,,,,,,,,,,,,,,,,,,
34379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68106.7,,,,67371.9,,,,,,,,,,,,,,,,
34373,,,,,,,,,,,,,,,,,,,50164.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34371,,,,,,,,,,,,,,,,78946.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145368,,,,,,,,,,,,,,,,,,,,,,
34359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65086,,,,,,,,,,,,,,,,,,,,
34353,,,,,,,,,,,,,,,,,,76991.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98523.9,,,,
34349,,,,,,,,,,,,,,,83678.1,,,,,,,,,,,,,,,,,,,,,,62893.9,,,,,162466,,,,,,,,,,,,,
34344,,,,,,,,,,,,,,,,,,,,,91810.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65093
34342,,,,,,,,,,,,,,,,,,,,45503.9,,,,,,,,,,,,,,,,,,81368.1,,,,,,,,,,,,,,,,,
34333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57395.3,,,,,,,,,,,,,,,,,,,
34329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58227.7,,,,,,,,,,,,,,,,,,,,
34328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82098.5,,,,
34327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77670.1,,
34319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82949.9,,,,,,,,,,,,,,,,,,,,,
34318,,,,,,,,,,,,,,,,,,,50628.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34310,,,,,,,,,,,,,,,,,,,,47344.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34307,,,,,,,,,,,,,,,,,,,,,54131.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59330.7,,,,,,,,,,,,,,,,
34295,,,,,,,,,,,,,,,,,108483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59661.1,,,,,,,,,,,,,,,,,
34278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87920,,,,,,,,,,,,,,,,
34276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68576.2,,,
34272,,,,,,,,,,,,,,,,68118.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34270,,,,,,,,,,,,,,,,,,90552.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66280.3,,,,,,,,,,,,,,,,,,,,
34264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92266,,,,,,,,,,,,,,,,,
34262,,,,,,,,,,,,,,,,,,,79830.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34261,,,,,,,,,,,,,,,,,,,,,89527.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51199,,,,,,,,,,,,,,,,,,
34240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61706.2
34236,,,,,,,,,,,,,,,,86517.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162434,,,,
34214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138802,,,,89666.6,,
34213,,,,,,,,,,,,,,,,,,,59120.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200043,,,
34211,,,,,,,,,,,,,,,,,,,,53348.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34206,,,,,,,,,,,,,,,,,,,,,81434.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34205,,3638.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102510,
34196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108129,,,,,,,,,,,,,,,,,,,,
34190,,,,,,,,,,,,,,,,,,,63929,,,114229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34173,,,,,,,,,,,,,,,,,,,,,50828.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34169,,,,,,,,,,,,,,,,,,,,,,84170.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91735.2,,,,
34168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136347,,,,,,,,,,,,,,,,,,,,
34166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65346.1,,,,,,,,,,,,,,,,,,
34158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48645.2,,,,,,,,,,,,,,,,
34146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89882.7,,,,,,,,,,,,,,,,,54358.8
34143,,,,,,,,,,,,,,,,,,,,,62772.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,89395.1,,,,,,
34141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120796,,,,,,,,,,,,,,,,,,,,,,,,,,
34140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108903,,,,
34137,,,,123593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34134,,,,,,,,,,,,,,,,,67163.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116279,,,,,,,,,,,,,,,,,,,,
34129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83902.8,,
34121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118421,,,,,,,,,,,,,,,,,,
34119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152517,,,,,,,,,,,,,,,,,,,,,,,,
34115,,,,,,,,,,,,,,,,,,,48715.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34109,,,,,,,,,,,,,,,,,,,,,60275.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133935,,,,
34105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161182,,,,,,,
34096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102778,,,,,,,,,,,,,,,,,
34092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59205.8,,
34091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102746,,,,,,,,,,,,,,,,,,,,
34088,,,,,,,,,,,,,,,,,,107994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34086,,,,,,,,,,,,,,,,,56618.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99924.7,,,,,,,,,,,,,,,,,,,,,,,
34074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69408,,,,,,,,,,,,,,,,,,
34068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122263,,,,
34063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66984.9,,
34058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63576.2,,,,,,,,,,,,,,,,,
34055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80164.6,,,,,,,,,,,,,,,,,,,
34054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57130.1,,,,,,,,,,,,,,,,,,
34050,,,,,,,,,,,,,,,,,,,,61346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160339,,,,,,,
34046,,,,,,,,,,,,,,,,,93835.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101879,,,,,,,,,,,,,,,,,,,,,
34041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173684,169077,,,,,
34029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96524.7,,,,,,,,,,,,,,,,,,,,,,,
34028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138188,,,,,,,,
34024,,,,,,,,,,,,,,,,,,,,81118.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86013.4,,,,
34016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68004,,,,,,,,,,,,,,,,,,,,
34007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148200,,,,,
34002,,,,,,,,,,,,,,,,,54277.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33997,,,,,,,,,,,,,106686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98379,,,,,,
33994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141586,,,,,,,
33990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69353.1,,,,36842.7,,,,,,,,,,,,,,,,
33988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118174,,,
33982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79520.5,,,,
33975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112116,,,,,,,,,,,,,,,,,,,,,,,,
33974,,,,,112494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75439.8,
33954,,,,,,,,,,,,,,101178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59440.8,
33928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116993,,,,,,,,,,,,,,,,,,,,,,
33926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99187.5,,,,,,,,,,,,,,,,,,,
33917,,,,,,,,,,,,,,,,,,,48640.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87154.3,,,,
33906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80840.6,,,,,,,,,,,,,,,,,,,,
33904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55339.6,,,,,,,,,,,,,,58081.9,,
33899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148822,,,,,,,,,,
33895,,,,,,,,,,,,,,,87262.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33891,,,,,,,,,,,,,,111429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33886,,2320.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33881,,,,,,,,,,,,,,,,,128677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33876,,,,,,,,,,,,,,,,,,,113285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62510.3,,
33873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88822.4,,,,,,,,,,,,,,,,,,,,
33871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124465,
33867,,,,,,,,,,,,,,,,,,161043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85567.1,,,,
33865,,,,,,,,,,,,,,,,,,,,79113,,,,,,,,,,,,,,,,71945.6,,,,,,,,,,,,,,,,,,,
33861,,3799.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33858,,,,,,,,,,,,,,,,65055.4,,,,,,,,,,,,,,,,180046,,,,,,,,,,,,,,,,,,,,,,,
33857,,,,,,,,,,,,,,,,,94474.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33851,,,,,,,,,,,,,,138583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33849,,,,,,,,,,,,,,,,,,,,,69632.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127426,,,,,,
33843,,,,82148.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33838,,,52455.9,,,,,,,,,,,,90555.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167886,,,,
33831,,,,,,,,,,,,,,,,94974.1,,,,,,,,,,,,248755,,,,,,,,,,,,,,,,,,,,,,,,,,,
33830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88981.3,,,,,,,,,,,,,,,,,,
33829,,1762.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135451,
33826,,,,,,,,,,,,,,,,,,,,45633.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33822,,,,,,,,,,,,,,,,,104516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33819,,,,,,,,,,,,,,,,,,73738.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118515,,,,,,,,,,,,,,,,,,,,,,,,,
33805,,,,,,,,,,,,,,117754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146456,,,,,,,,,,,,,,,,,,,,,,,
33800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62210,,,,,,,,,,,,,,,,,
33799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40404,,,,,,,,,,,,,,,,
33795,,,,,,,,,,,,120478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62129.1,
33782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102797,,,,,,,,,,,,,,,,85346.4,,,,
33781,,,,,,,,,,,,,,,,,,67141.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33780,,,70362.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115365,,,,62970.9,,,,,,,,,,,,,,,,,,
33766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111133,,,,,
33763,,,,,,,,,,,,,,,,,,,,,43966.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33762,,,,,,,,,,,,,,,,,,,,,,,,,,,,217116,,,,,,,,,,,,,,,,,,,,,,,,,,,
