,Sample name,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35163,,,,,,,,,,,,,,,,,,,,,,,,,2031370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35156,,,,,,,,,,,,,,,,,,,,,,1257550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873090,,,,,,,
35153,,,,,,,,1032900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35152,,,,,,,,,,1525510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888029,
35150,,,,,,,,,,,,,1066470,,,,,,,,,,2857780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751902,,,,,,,,,,,,,,,,,,,,,
35145,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118470,1615060,,,,,,,,,,,,,,,,,,,,,,,,,,
35144,,,,,,,,,,,,,,,1553900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35143,,,,,,,,,,,,,,,,,,,,,,,,,1920440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236270,,,,
35141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,813609,,,,,,,,,,,,,,,,,,,,,701863,,,
35138,,,,,,,,,,,,,,,,,,,,,,,,,,,3115820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1081210,,,,,,
35131,,,,,1011570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298240,,,,,,,,,,,,,,,,,,,,,,,
35126,,,,,,,,,,,4317840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055930,,,,,,,,,,,,,,,,,,,,,,
35119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1537970,,,,,,,,,,,,,,
35115,,,,,,,,,,,,,1178270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35103,,,,,,,,,,,,,,,,,,,,,,,,,,,,1793740,,,,,,,,,,,,,,,,,,,,,,,,,,,
35089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,665840,,,,,,,,,,,,,,,,
35086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740435,,,,,,,,,,,,,,,,,,557427,,,
35085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877245,,,,,,,,,,,,,,,,,,,,,,,
35084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520080,,,,,,,,,,,,,,,,,,,,,,,,
35082,,,,,,,,,,,,,,,,1744130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192390,1419140,,,,,
35081,,,,,,,,,,,,,,,1320180,,,,,,,,,,,,,,,,,,757030,,,,,,,,,,,,,,,,,,,,,,
35078,,,,,,,3067840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4028070,,,,,,,,,
35077,,,,,,,,,,,,,,,,,,,,,,,,2111920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1036070
35074,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540710,,,,,,,,,,,,,,,,,,,,,,,,,,,
35066,,,,,,,,,3664820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35058,,,,,,,,,,,,,1568630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35052,,,,,,,,,,,,,,,,,,,,211717,,,,,,,,,,,,,,,,,,114548,,,,,,,,,,,,,,,,,
35045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1596760,,,,,,,
35043,,,,,,,,,,,,3101830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1170160,,,,,,
35041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969905,,627789,,,
35040,,,,,,,,,,,,,,,,933280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387860,,,,,,,,,
35038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,893112,,,,
35036,,,,,,,,,,,,,,,,,,,,,,,,,,,1564490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1935430,,,,,,,,,,,,,,,,,,,,,,,
35034,,,,,,,,,,,,,,806931,,,1027280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35033,,,,1295010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35030,,,,,,,,,,,,,,,1097620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35029,,,166259,,,,,,2621360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35027,,,,,,,,,,,,,,,,,,,,,,,,,,,,3578050,,,,,,,,,,,,,,,,,,,,,,,,,,,
35024,,,,,,,,,,,,,,,,,,,,,,1313040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35019,,,,,,,,,,,,,2023580,,,,,,,,,,2770510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,859326
35017,,,,,,,,,,,,,,931937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643066,,,,,,,,,,,,,,,,,,,
35010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,885744,
35007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4307360,,,,,,,,
35001,,,,866375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316152,,,,,,,,,,,,,,,,
34995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1198700,,,,,,,,,,,,,,,,,,,,,,,,
34992,,,,,,,,,,,,,,,909930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854020,,,,,,,,,,,,,,,,,,,,704956,,,,,
34982,,,,,,,,,,,,,,2208470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5599830,,,,,,,
34981,,,,,,,,,,,,,,,,,,,,,,,,,,2185220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34980,,,,,,,,,,2496940,,,2214970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2077110,,1678310,,,,,,,,,,,,,,,,,,,,726297,,,,
34974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058860,,,,,,,,,,,,,,
34972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,533713,,,
34971,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123760,,,,,,,,,,,,,,,,,,,,,,,,,,,
34970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963306,
34968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880321,,,,,,,,,,,,,,,,,,,
34966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2523460,,,,,,,,
34957,,,,,,1297930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1555600,,,,,
34943,,,,,,,,,,,,,,,1346720,1553800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1477680,
34942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1720760,,,,,,,,,,,,,,,,3110810,,,,,,,,
34941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991244,,,,,,,,,,,,,,,,4718500,,,,,,,
34939,,,,,,,,,,,,,,,,,,,,,,,,,,,2360050,2941440,,,,,,,,,,,,,,,,,,,,,1144690,,,,,,
34938,,,,,,,,,,,,,1341380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846125,,,,,,,,,,,,,,,,,,,,,,,,,
34934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1909390,,,,,,,,,,,,,,,,,,,,,,,,,,
34932,,,,,,,,,,,,,,2057450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34928,,,159741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34926,,,,,,,1695010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102355,,,,,,,,,,,,,,,,,
34908,,,,,,,,,,,,,,,,,,,,188990,,,,1751880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34901,,,,,,,,,,,,,,,,,,940795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34897,,,,,,,,,,,,,,,1965990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618870,,,,,,,,,,,,,,,,,,,,,,,
34892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188880,,,,,,,,,,,,,,,,,,,,,,,,,
34889,,,,,,,,,,,,,,,,,,,,,,1401400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34888,,79792.2,,,,,,,,,,,,,,848874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5550740,,,,,,,
34883,,,,,,,,,,,,4510740,,,,,,,,,553426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34880,,,,,,,,,,,,,3961260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34878,,,,,,,,,,,,,,2755490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8039150,,,614993,,,,,
34875,,,,,,,,,,,,,,,,,,,,,,,,,,,1526400,,,,,,,,,,,,,,,,,1880250,,,,,,,,,,,
34874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2352670,,,,,,,,,,,,
34872,,,,,,,,,,,,,,,,,,,,,,,,,2662740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201490,,,,,,,,,,,,,,,,,,,1349960,,
34866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,855257,,,,,,,,,,,,,,,,,,,,,,,,,,
34864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656340,,,,,,,,,,,,,,,,
34863,,,,591527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34846,,,,,,,,,,,,,,1786320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135150,,,,,,,,,,,,,,,,,
34838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629090,,,,,,,,,,,,,,,,,,,,,,,,,,
34837,,,,,,,,,,,,,,,,,,,,,,,,,,,,5465620,,,,,,,,,,,,,,,,,,,,,,,,,,,
34836,,,,,,,,,,,,,4332060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4676880,,,,,,,
34829,,,,,,,,,,,,,,,,,,,,,,,,,,,3024470,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6829130,,,,,,,,
34826,,,,,,,,,,,,6498810,,,,,,,,,,,,,,,,,,,,,,,853404,,,,,,,,,,2853900,,,,,,,,,,
34825,,,,,,,,,,,,,,,839758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34824,,,,,,,,,,,3924280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902360,,,,,,,,,,,,,,,,,,
34816,,,,,,,,,,,,,,,,,,,,,,,,,1876650,,,,,,,,,,,,,,,,,,,,,,,,1136470,,,,,,
34803,,,,,,,,,,1417760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34796,,,230713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34795,,,,,,,,,,,,,,,1015470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5603280,,,,,,,,
34789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5151270,,,,,,,
34787,,,,,,,,,,,,,,1532230,,,,,,,,,,,,,,,,,881747,,,,,,,,,,,,,,,,,,,,,,,,
34786,,,,,,,,,,,,,3396560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34783,,,,,,,,,,,,,,,,,,,,,,,,,,,,2265270,,,,,,,,,,,,,,,,,,,,,,,,,,,
34781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889389,,,,,
34774,,,,,,,,,,,5888060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10239300,,,,,,,,,
34773,,,,,,,,,,,,6647680,,,,,,,,,,,,,,,,,,,,,1608520,,,,,,,,,,,,,,,,,,,,,,
34769,,,,,,,,,,,,,,,,,,,,,,,,,,,5633410,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383486,,,,,,,,,,,,,,,,
34759,,,,,,,,,,,,,,,,,,776760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34749,,,,,,,,,,,,,,,959356,,,,551512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1097840,,,,,,,,,,,,,,,,,,,,,,,,,
34744,,,,,,,,,,,,,2083760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34743,,,,,,,,,,,,,,,,,1215170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082030,,,,,,
34740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561078,,,
34735,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210400,,,,,,,,,,,,,,,,,,,,,,,,,,,
34734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3319930,,,,,,,,
34732,,,,,,,,,,,,4319980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34729,,,,,,,,,,,4469200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34728,,,,,,,,,,,,,,,,,,,,,,,,,,,4744490,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270450,,,,,,,,,,,,,,,,,,,,,,,,,
34710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894043,,,,,,,,,,,,,,,,,,,,
34707,,88147.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1361460,,,,,,,
34695,,,,1475020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950926,,,,,,,,,,,,,,,,,,,,
34691,,,,,,,,,,,,,1688640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34690,,,,,,,,,,,,,,,,,,,,,,,,,,,,3311980,1203250,,,,,,,,,,,,,,,,,,,,,,,,,,
34689,,,,,,,,,,,1810980,,,,,,,,,,,,,,,,2528460,,,,,,,,,,,,,,,,,,,,3450240,,,,,,,,
34687,,,,,,,,,,,,4533870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34685,,,,,,,,,,,,,,,,,,846475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5176680,,,,,,,,,
34673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1028860,,,,,,,,,,,,,,,,,,,,,
34665,,,,,,,,,,,,,,,,,,,,,,,,1589790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34664,,147617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564699,,,,,,,,,,,,,,,,
34652,,,,,,,,,,,,,,,,,,,,268597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34645,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744990,,,,,,,,,,,,,,,,,,,,,,,,,,,
34643,,,,,,,,,,,,,1521750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2848470,,,,,,,,
34640,,,,,,,,,,,,,,,903567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34639,,,206733,,,,,,,,,,,,,,,,,,,,,,,,1988290,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696951,,,,,,,,,,,,,,,,676931,,,,,
34637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146409,,,,,,,,,,,,,,,,,
34636,,,,,,,,,,,2085220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34635,,,,,,,,,,,,4004610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34633,,,,,,,,,,,,,,,,,,,546367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037280
34623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353442,,,,,,,,,,,,,,,,
34617,,,,,,,,,,,,,,,,,,744303,,,,,,,,,,,,,,,,,,,,149766,,,,,,,,,,,,,,,,,
34612,,,,884935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34608,,,160496,,,,,,,,,,,,,,,,,266952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34607,,,,,,,,,,,,,,,,,1297090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34605,,,,,,,,,,,,,,1106000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617833,,,,
34593,,,,,,,,,,,,,,,,,,,,,,,,,,,,1391950,,,,,,,,,,,,,,,,,,,,,,,,,,,
34568,,,,798434,,,,,,1699520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34567,,,,,1041570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34566,,,,,,,,,,,,,,1321520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34564,,,,,,,,,,,,,,,,,,668234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1003280,,,,,,,,,,,,,,,,,,,,,,,,,
34560,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230290,,,,,,,,,,,,,,,,,,,,,,,,,,,
34547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550960,,,,,,,
34538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831786,,,,,,,,,,,,,,,,,,,,,,,
34537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690753,,,,,,,,,,,,,,,,,,,
34533,,,,,,,,,,,,,,,,,,,,,,,,,,,2318350,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740062,,,,,,,,,,,,,,,,,,,,,,,,
34529,,,,,,,,,,,1492580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618220,,
34525,,,,,,,,,,,,,1004250,,,,,,,,,,,,,,,,,,,,,,,,681566,,,,,,,,,,,,,,,,,,
34507,,,,,,,,,,,,,,,831850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34503,,70852.8,,,,,,,,,,,,,,,,,,,,2811770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1181950,
34494,,,,,,,,,,,,,,,,,,,775668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34493,,,,,,,,,,,,,,,,,,666910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1588640,,,,,,,,
34489,,,,,,,,,,,,,1736050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1336590,,,,,,,,,,,,,,,,,,,,,,,,
34459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402640,,,,,,,,,,,,,,
34456,,,,,,,,,,,,,,,,,,,655757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669255,,,,,,,,,,,,,,,,,,,,,,
34439,,,,,,,,,,,,1711980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34438,,,,,,,,,,,,,,,,,,,,155998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34436,,,,,,,,,,,,,,,,,,,739145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34420,,,,981990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34419,,,,,,,,,,,,,,,,,,,,,,,,2559280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010080,
