,Sample name,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_1,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_2,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3,20210308_C2_80min_SinoN501Y_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35762,,,,,,,,,,,,,,,814010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35756,,,,,,,,,,,,,,,,,,,,,,1623580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643630,,,,,,,,
35738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280400,,,,,,,,,
35737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646426,,,,,
35732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,846595,,,,,,,,,,,,,,,,,,,,,,,
35731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831673,
35723,,,,,,,,,,,3156510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094310
35698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,967240,,,,,
35696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,724310,,,,,,,,,,,,,,,,,,,,,,,
35690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989769,
35683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1903320,,,,,,,,
35672,,,,,,,,,,,,,,,,,,,,,,,,,,1866600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35671,,,,,,,,,,,3128440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35669,,,,,,,,,,,,1858270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35654,,,,,,,,,,,,,,1176010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1008560,,,,,,,,,,,,,,,,,,,,,,,
35644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968466,
35635,,,,,,,,1263020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469710,,,,,,
35632,,,,,,,,,,,1737660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1422950,,,,,,,,
35625,,,,,,,,,,,,2788860,918536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2155780,,,,,,,
35607,,,,,,,,936228,,,,,,,,,,,,,,1245130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35602,,,,,,,,,,,,,,,,,,,,234580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35596,,,,,,,,,,,,,,,,,,,992048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35594,,,,,,,,,,,,,,,,1232510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111020,,,,
35589,,,,,,,,,,,,,,1564480,,,,,,,,,,,,,,,,,1237620,,,,,,,,,,,,,,,,,,,,,,,,
35573,,,,,,,,,,,3131620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,882197,,,,,,,,,,,,,,,
35572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395730,,,,,,,,,,
35560,,,,,,,,,,,,,,,,,,,,155782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35556,,,,,,,,,,,,,,,,,,,873305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,706750,,,,,,,,,,,,,,,,,,599196,,,
35551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1534090,,,,,,,,,,,,,,,,,,,,,,,
35549,,,,,,,,,,,,,,,1867980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2882230,,,,,,
35548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701868,,,,,,,,,,,,,,,,,685047,,,,,
35545,,,,,,,,,,,,,,962928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35542,,,,,,,,,,,,,,,,1264630,,,,,,,,,,,,,,1515390,,,,,,,,,,,,,,,,,,,,,,,,,
35529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948510,,,,,,,,,,,,,,,,,,,,,,,,,,
35526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264810,,,,,,,,,,,,,,
35522,,,,,,,,,,,,,,,,,,,,,,,,,,1918630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35510,,,,,,,,,,,2439190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160040,
35504,,,,,,1578210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1738390,,,,,,,,,,,,,
35501,,,,,,,1365880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985520,,,,,,
35494,,,,,,,,,,,,,,,1313340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35491,,,,,,,,,,,,,,1114600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35487,,,,,,,,,,,,,2029560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35486,,,,,,,,,,1760240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698423,,,,,,,,,,,,,,,,,,,,,,
35467,,,,,,,,,,1618950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939740,,,,,,,,,
35466,,,,,,,,,,,,,,,,1392430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117120,
35455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234660,,,,,,,,,,,,,,,,,,,,,,,
35452,,,,,,,,,1589720,,,,,,,,,,,,,,,,,,,,816819,,,,,,,,,,,,,,,,,,,,,,,,,,
35451,,,,,,,,,,,,,,,,,,,,,,,,,,1589050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35447,,,,,,,,,,,,,,2203100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793182,,,,,,,,,,,,,,,3193420,,,,,,,
35444,,,,,,,,,,,,,,,,,,,,,,,,,,,,1643920,,,,,,,,,,,,,,,,,,,,,,,,,,,
35442,,,,,,,,,,,,,,,,,,,,,,,,,,,1841310,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35440,,,,,,,,,,1411300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35438,,,,,,,,,,,,,,,,,,,,,,,,2110850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35435,,69637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645575,,,,,,,,,,,,,,,,,,,,,,,
35410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1029600,,,,,
35405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806790,,,,,,,
35404,,,,,,,,,1260960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35403,,,,,,,,,,,,,,,,1084770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680016,,,,,,,,,,,,,,,,,,,,,,
35394,,,,,,,,,,,,,,,,,,,,,,,,,,,2036530,,,,,,,699827,,,,,,,,,,,,,,,,,,,,,
35391,,,,,1175720,,,,,,,,,,,,,,,,,,,,,,,3201370,,,,,,,,,,,,,1327710,,,,,,,,,,,,,,
35387,,,,,,1343060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164420,,,,,,,,,,,,,,,,,,,,,,,,,,
35364,,,,,,,,,,,,,,,,628150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35360,,,,,,,,,,,,,,,,,,,,,,1579810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1802760,,,,,,,,,,,,,
35356,,,,,,,,1250310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1295250,,,,,,,,,,,,,,
35349,,,,,,,,,,,,,1150580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35347,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883640,,,,,,,,,,,,,,,,,,,1710670,,,,,,,,
35346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1512780,,,,,,,,,,,,,,,,,,,3090180,,,,,641872,,
35333,,,,,,,,,,,,1668250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35329,,,,,,,,,,,,,,,,,748487,,,,,,,,,,,,,,,692777,,,,,,,,,,,,,,,,,,,,,,,
35327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1454740,,,,,,
35316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178903,,,,,,,,,,,,,,,,,
35313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073080,,,,,,,,,,,,,,,
35308,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133110,,,,,,,,,,,,,,,,,,,,,,872672,,,,,
35307,,,,,,,,,,,,,,,,778396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35305,,,,,,,,,,,,,,,965321,,,,,,,,,,,,,,1527750,,,,,,,,,,,,,,,,,,1914750,,,,,,,,
35301,,,,,,,,,,,,,1704670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3298560,,,,2082580,,,,,,,
35297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289300,,,,,,
35296,,,,,,,,,,,,,,,,,,917643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319528,,,,,,,,,,,,,,,,
35283,,,,,,,,,,,,,,,,,,,,,,,,,,2412440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1685550,,,,,,,,,,,,,,,
