,Sample name,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_1,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_2,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3,20210315_HILIC_intact_Andrea_SinoN501Y_lowres_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Name,
35365,,,,,,,,,,,,,,,,,,,,,,,,336691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35350,,,,,,,,,,,,,,,,,,,,,60800.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35346,,,,,,,,,289967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135615,,,,,,,,,,,,
35338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61645.5,,,,,,,,,,,,,,,,
35328,,,,,,,,,,,,,,,,,,,,,86307.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35316,,,,,,,,,,,,,,,,,,,,,,,,237427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35309,,,,,,,,,,,,,,,,,,,,,,,,,,,172354,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35306,,,,,,,,,,,,,,,,,,,,,,,,,,,,198551,,,,,,,,,,,,,,,,,,,,,,,,,,,
35305,,,,,,,400960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35297,,,,,,,,,,,,,,,,,,,,,,,,,391402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35292,,,,,,,,,,217854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141974,,,,,,,,,,,
35282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145923
35276,,,,,,,,,,,,,,,,,,,,,,,,,,,,179421,,,,,,,,,,,,,,,,,,,,,,,,,,,
35260,,,,,,,,,,,,,,,,,,,,,,,,,,,,185430,,,,,,,,,,,,,,,,,,,,,,,,,,,
35258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198676,,,,,,,,,,
35241,,,,,,,,,,,,,,,,,,156728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35232,,,,,,,,,,,,,,,,,,,,,,,,,,,196629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35230,,,,,,,,,,,,,,,,,,,,,,,,,277776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35221,,,,,,,,,,,,,,,,,,,,,,,,,,244953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141380,,,,,,,,,,,
35169,,,,,,,,,,211062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140470,,
35162,,,,,,,,,,,,,,,,,,,,,,,,,,,,180003,,,,,,,,,,,,,,,,,,,,,,,,,,,
35161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200609,,,,,,,,,
35134,,,,,,,,,,,,,,,,,,,,,,,,,,210700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249946,,,,,,,,,,,
35065,,,,,,,,,,,,,,,,,,275455,,,,,,,220052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129627
35032,,,,,,,,,,,,,,,,,,,,,,,,,,186678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35026,,,127385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35017,,,,,,,,,,,,,,,,,,,,,66761.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35010,,,,,,,,,,,,,,,,,,180690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95030.7,,,,,,,,,,,,,,,
34964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122297,,
34936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136875,,,,,,,,,,,,,,,,120186,,
34901,,,,,,,,,,,,,,,,,,,,,,,,256596,273934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211901,,,,,,,,,,,,,,,,,,,
34893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160854,,
34887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176155,,,,,,,,,,,,,,,,,,,,
34872,,,,,,,,,,,,,,,,,,,,,,,,,189145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193392
34851,,,,,,,379376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141823,,,,,,,,,,,,,,,,,,
34821,,,,,,,281357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34819,,,,,,,,,,,,,,,,,120609,,,,,,,,,,,,,,,,,,125386,,,,,,,,,,,,,,,,,,,,
34818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203786,,,,,,,,,,,,,,,,,,156731,
34817,,,,,,,,,,,,,,,,,,203722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34786,,,,,,,,,,,,,,,,,,181235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126184,,,,,,,,,,,,,,,,,,,,,,
34781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163004,
34780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170148,,,,,,,,,,,,,,,,,,,
34777,,,,,,,,,,,,,,,,,,,161684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133985,,,,,,,,,,,,,,,,,,,,
34763,,,,,,,,,,,,,,,,,,,,,78848.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34762,,,,,,,,,,,,,,,,,,,,,,,,273065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34758,,,,,,,,,,,,,,,,,,215067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245324
34748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203764,,,,,,,,,,,,,,,,,,
34740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101063,,,,
34724,,,,,,209085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135002,,,,,,,,,,,,,,,,,,,
34707,,,,,,,,,,,,,,,,,,,188380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194545,,,,,,,,,,,,,,,,,,
34687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145183,,,,
34684,,,,,,,,,,,,,,,,,143207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34682,,,,,,,,,,,,,,,,,,,211619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34677,,,,,,,,,,,,,,,,,,184387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268734,,,,,,,,,,,,,,,,,,
34673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192318
34655,,,,,,,,,,,,,,,,,,,,,,115181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34645,,,,,,,,,,,,,,,,,172689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110772,,,,,,,,,,,,,,,,,,,,
34639,,,,,,,,,,,,,,,,,,184976,249438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361742,,,,,,,,,,,,,,,,,262874,
34636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282041
34627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197171,,
34605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371422,,,,,,,,,,,,,,,,,,
34599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150880,
34595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177790,,,,,,,,,,,,,,,,,,,
34594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210236,,,,,,,184481,,,,,,,,,,,,,
34583,,,,,,,303441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156513,,,,,,,,,,,,
34580,,,,,,,,,,,,,,,,,,,,,,,,241008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320497,,,,,,,,,,,,,,,,,,
34572,,,,,,,,,,,,,,,,,,229423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34569,,,,,,,,,,,,,,,,,,,336086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304466,,,,,,,,,,,,,,,,,,,
34565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171761,
34563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199002
34556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216745,,,,,,,,,,,,,
34551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93281.6,,,,
34549,,,,,,,,,,,,,,,,,,,,,,,,344293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34546,,,,,,,,,,,,,,,,255414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325046,,,,,,,,,,,,,,,,,,178061,
34532,,,,,,,,,,,,,,,,,,398690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133916,,,,,,,,,,,,,,,,,,,,,
34530,,,,,,,,,,,,,,,,,,,292804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257468,,
34529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318017,,,,,,,,,,,,,,,,,,233103
34519,,,,,,,,,,,,,,,,,,,,,,,,388332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34505,,,,,,247581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218987,,,
34497,,,,,,,,,,,,,,,,,,,,,,,224557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238597,
34496,,,,,,,,,,,,,,,,,,,560264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34495,,,,,,,,,,,,,,,,,288923,296258,,,,,,,,,,,,,,,,146088,,,,,,,,,,,,,,,,,,,,,
34493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351732
34492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256654,,,,,,,,,,,,,,,,,,,
34488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295963,,
34486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380857,,,,,,,,,,,,,,,,,,
34476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220615,,,,,,,,,,,,,
34462,,,,,,,,,,,,,,,,,,,156316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224084,,,,,,,,,,,,,,,,,,,
34456,,,,,,,,,,,,,,,158976,,,,,,,,,,,,,,,,,,,,,,194501,,,,,,,,,,,,,,,,,,
34453,,,,,,,,,,,,,,,,,,200437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126446,120691
34450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187989,134644,,,,,,,,,,,,,,,,,,,,
34429,,,,,,,,,,,,,,,,,183172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272525
34424,,,,,,,,,,,,,,,,262319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187337,,,,,,,,,,,,,,,,,,
34420,,,,,,,,,,,,,,,,,,,217617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142263,
34409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132738,,,,,
34398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162083,
34396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251004,,
34393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290566
34390,,,,,,,,,,,,,,,,,,,371374,,,,,,,,,,,,,,,,,,,,,,,311028,,,,,,,,,,,,,
34389,,,,,,,,,,,,,,,,,,308242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34385,,,,,,,,,,,,,,,,351866,233242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376102,,,,,,,,,,,,,,,,,,
34382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410550,,,,,,,,,,,,,,,,,,,
34380,,,,,,,,,,,,,,,,,,,,,,,192411,,,,,,,,,,,,241121,,,,,,,,,,,,,,,,,,,,
34372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242961,,,,,,,,,,,,,
34358,,,,,,,,,,,,187705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34355,,,,,,,,,,,,,,,,,127644,,,,,,,,,,,,,,,,,,201376,,,,,,,,,,,,,,,,,,,,
34352,,,,,,,,,,,,,,,,,,,428394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34350,,,,,,,,,,,,,,,,,,391968,,,,,,,,,,,,,,,,,,329365,,,,,,,,,,,,,,,,,,,451171
34348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371483,
34346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581525,,,,,,,,,,,,,,,,,,
34329,,,,,,,,,,,,,,,,127009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34324,,,,,,,,,,,,,,,238200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159297,,,,
34319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143719,,,,,,,,,,,,,,,,,,,,,
34312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268923
34309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256496,,,,,,,,,,,,,,,,304851,,
34308,,,,,,,,,,,,,,,,,275857,,,,,,,,,,,,,,,,,,207935,,,,,,,,,,,,,,,,,,,,
34307,,,,,,,,,,,,,,,,,,,,,,,,292816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202835,
34306,,,,,,,,,,,,,,,,,,271078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301479,,,,,,,,,,,,,,,,321100,,,
34286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158419,,,,,,,,,,,,,,,,,,
34284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157961,
34281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365124
34278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257928,,,,,,,,,,,,,,,,,,,
34277,,,,,,,,,,,,,,,,,259426,275775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240817,278946,,
34270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215284,303123,,,,,,,,,,,,,,,,,,,,
34268,,,,,,,,,,,,,,,,339857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239893,,
34244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128514,,,
34242,,,,,,,,,,,,,,,,,,,456788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34239,,,,,,,,,,,,,,,168015,,,,,,,,,,,,,,,,,,,263602,,,,,,,,,,,,,,,,,,,,,515489
34238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411955,,,,,,,,,,,,,,,,,,
34235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171370,,,,,,,,,,,,,,,,,,,,
34234,,,,,,,,,,,,,,,,,,434958,,,66399.1,,,,,,,,,,,,,,,266633,,,,,,,,,,,,,,,,,,181015,
34233,,,,,,,,,,,,,,,,266603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34232,,,,,,,,,,,,,,,,,,,,,,,232225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131289,,,,,,,,,,,,,,,,,,,,,,
34229,,,,,,,,,,,,,,,,,,,,,,99348.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34226,,,,,,294905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34215,,,,,,,,,,,,,,,,231679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159648,,
34212,,,,,,,,,,,,,,,,,,,,,,,,653268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216507,,,,,,,,,,,,,,,,,,,,,,,
34208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301856,,,,,,,,,,,,,,,,,,,
34206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462596
34204,,,,,,,,,,,,,,,,,,,212258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284559,,,,,,,,,,,,,,,,,189144,,378107,
34201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68486.5,,,,,,,,,,,,,,,
34199,,,,,,,,,,,,,,,205930,,,,,,,,,,,,,,,,,,,177975,,,,,,,,,,,,,,,,,,,,,
34198,,,,,,,,,,,,,,,,,,451676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265002,,,,,,,,,,,,,,,,,,,,,,
34196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344505,,,,,,,,,,,,,,,,,,
34195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121803,,,,,
34192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140451,,,,
34171,,,,,,253043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34170,,,,,,,,,,,,,,270756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34169,,,,,,,,,,,,,,,,,,,,,,,,291597,,,,,,,,,,,,,,,,,,268996,,,,,,,,,283360,,,,
34168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229705,,,,,,,,,,,,,,,,,,,,,,,
34164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417283,,,,,,,,,,,,,,,,,,389327,,388506
34163,,,,,,,,,,,,,,,,179148,,,305893,,,,,,,,,,,,,,,,,357526,,,,,,,,,,,,,,,,312671,,,
34161,,,,,,,,,,,,,,,,,,489719,,,,,,,,,,,,,,,,222995,,,,,,,,,,,,,,,,,,,,280854,
34160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415119,,,,,,,,,,,,,,,,,,
34140,,,,,,196587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301714
34131,,,,,,,,,,,,,,183971,,,,,415798,,,,,,,,,,,,,216021,,,,,,,,,,,,,,,,,,175700,,,,,
34130,,,,,,,,,,,,,,,,362175,,,,,,,,,,,,,,,,,,,,291897,,,,,,,,,,,,,,,,,356294,,
34128,,,,,,,,,,,,,,,301310,,314419,,,,,,,,,,,,,,,,,,,,,,,,,231990,,,,,,,,,,,,,
34127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316095,,266627,,,,,,,,,,,,,,218082,,,,
34126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318806,,,,,,,,,,,,,,,,,,274892,,357600,
34125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322683,,,,,,,,,,,,,,,,,,,,,,
34124,,,,,,,,,,,,,,,,,,418624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
