,Sample name,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_1_redo,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_2,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3,20210304_CE_45min_RayWT_unreduced_AA_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
Name,
35288,,,,,,,,,,,,,,,,,,,,,,,,314143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35286,,,,,,,,,,,,,,,,,,,,,,,,,,,737617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35280,,,,,,,,,,,,,,,,,,174308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35278,,,,,798729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35268,,,,,,,,,,,,,,,,,,,,,,,,,641636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35261,,,,,,,,,,,,,,,,147531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78661.1,,,,,,478578,,,,,,,,,,,,,,,,,
35255,,,,,,,,,,,,,,,,,,,,97722.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111153,,,,,
35243,,,,,,,,,,,,,,,,,,,,,,65184.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492803,,,,,,,,,,,,,,,,,
35238,,,,,,469474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35235,,,,,,,,,,,,,,,,,,,,,,,,,,,735859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35220,,,,,,,,,,,,,,,,,,112284,,,,,,,,,,,,,,,,,,,,,,,,125401,,,,,,,,,,,,,,,,,,,,,
35219,,,,,,,,,,,,,,167691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94070,,
35215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185967,189480
35214,,,,,,,,,,,,,,,,,,,235739,,318465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35213,,,,,,,,,,,,,,,,,,,,293190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78571.7,,,,,,,,,,,,,,,,,,,,
35206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104461,,,,
35184,,,,,,,,,,,,,,,,,,,,,,,,,649389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764761,,,,,,,,,,,,,,,,
35178,,,,,,350262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344073,,,,,,,,,,,,,,,,,,
35177,,,,,,,,,,,,,,,,,,,,,,,,,,,570274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109911,,
35175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35170,,,,,,,,,,,,,,,,,,,,,,,215931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35169,,,,,,,,,,,,,,,,,,,,,,,,,,581974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35164,,,,,,,,,,,,,,,211147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,905795,,,,,,,,,,,,,,,,
35145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102868,,
35144,,,,,,,,,,,,,,,,,,,,,,,,,,553905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35143,,,,,,,,,,,,,,,,,,160637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35142,,,,,1032340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64215.4,,,,,,,,,,,,,,,,,,,,
35132,,,,,,,,,,,,,,,,,,,,,,,,280159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35130,,,,,,,,,,,,,,,,,,,,,,,,,529883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35128,,,,,,710452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113690,,
35080,,,,939590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35078,,,,,,,,,,,,,,,,,,,,,,,,,590228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166818,,,,,,,,,,,,,,,,,,,,,
35070,,,,,,,,,,,,,,,,,,,102713,185005,,,,,,,,,,,,,,,,,,,,,91967,,,,,,,,,,,,,,,,,,,,,,
35069,,,,,,,,,,,,,,,,,,245081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166186,91387.1,
35068,,,,,,,,,,,,,,,,,209878,,,,,,,,,,,,,,,,,,,,,,98142.4,,,,,,,,,,,,,,,,,,,,115850,,,,
35067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132334,,,70923.2
35066,,,,,,,,,,,,,,,,,,,,,124649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35061,,,,,,,,,,,,,,294684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35055,,,,,,,,,,,,,,,,,,,,,,,,410119,,,,,,,,,,,,,,,,,,,,,,,625985,,,,,,,,,,,,,,,,
35054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214660,,,,,,,,,
35045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90133,,,,,,,,,,,,,,,,,,,,,,
35040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77018.1,,,,,,,,,,,,,,,,,,,,,,,
35039,,,,,,,,,,,,,,234678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138487,,,,,,,,,,,,,,,,,,,,,,,,,,,
35025,,,,,645061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122564,,,
35018,,,,,,,,,,,,,,,,171754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194270,,,,
35003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84568.2,
35000,,,,,,,,,,,,,,,,,,198909,92837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131517,,,,,,,,,,,,,,,,,,,,,,
34990,,,,,,,,,,,,,,,128964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34989,,,,,,,,,,,,,,,,,,,,,88572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34987,,,,,821881,,,,,,,,,152161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84431.7,
34975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138554,,,,,,,,,,,,,,,,,,,,,,,,,,
34965,,,,1220830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323928,,,,,,,,,,,,,,,,,,
34963,,,,,,,,,,,,,,,,,,,,,115380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34961,,,,,,,,,,,,,,,,,,154835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690865,,,,,,,,,,,,,,,,,
34950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,796608,,,,,,,,,,,,,,,,
34946,,,,,,,,,,,,,,,,,,,,,,,,,652539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34932,,,,,,,,,,,,,,,245742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34930,,,,,,,,,,,,,,,,,,,,,188764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138507
34926,,,,,,,,,,,,,,,,,,,,184263,,,,,,,,,,,,,,,,,,,,117412,,,,,,,,,,,,,,,,,,,,,,,
34924,,,,,,,,,,,,,,,,210831,,,,,,,,,,,,,,,,,,,,,,,,,276866,,,,,,,,,,,,,,,,,,,,,,
34923,,,,,,,,,,,,,,,,,,,294562,,,,,,,,,,,,,,,,,,,237095,,,,,,,,,,,,,,,,,,,,193408,,,,,
34922,,,,,,,,,,,,,,,,,406246,329892,,,,,,,,,,,,,,,,,,,,,,,,210103,,,,,,,,,,,,,,,,,,281786,430175,181114,
34920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185133,,,,
34912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281871,,,,,,,,,,,,,,,,,,,
34908,,,,,,,,,,,,,,,,,,,,,,,,,671171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34905,,,,,,,,,,,,,,,,,,,,79306.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142008,,,,,,,
34904,,,,619684,,,,,,,,,,,,,,,,,,,,481050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160221,,,,,
34881,,,,,,,,,,,,,,,,,,119518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99376.3,,,,,,,,,,,,,,,143410,,,,,,,
34876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107756,,
34874,,,,,,,,,,,,,,,,172277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580637,,,,,,,,,,,,,,,,,
34856,,,,,,,,,,,,,,,258293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47090.8
34852,,,,,,,,,,,,,,,,,,,,106987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34851,,,,,,,,,,,,,,,,,,,,,182412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34850,,,,,,,,,,,,,,,,,,,,,,,,386685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34849,,,,,649037,,,,,,,,,,,,,,135839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89501.1,,,,,,,,,,,,,,,,,,,,,,,,
34847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422804,,,,,,,,,,,,,,,,,,
34846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34840,,,,,,,,,,,,,,,,,,164070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117964,,,,,,,,,,,,,,,,,,,,,,
34836,,,,,,,,,,,,,,,,,,,,,,57761.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96989.2,,,
34827,,,,,569682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220210,,,,,,,,,,,,,,,,,,,,115234,,,119796,,,,
34824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246736,,,,,,,,,,
34820,,,365649,,,,,,,,,,,,140153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114808,,,,,,,,,,,,,,,,,,,,,,,,,
34809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,306611,,,,,,,,,,,,,,,,,,
34789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493474,,,,,,,,,,,,,,,,,
34788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114889,,,,,,,,,,,,,,,,,,,,,
34787,,,,,,,,,,,,,,,,,,,,,,,,,651713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34784,,,,,,,,,,,,,,,,,,,,,76695.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34783,,,,,,,,,,,,,,,,,,,182690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227445,,,,,,,,,,,,,,,,,,,,,,,,,,,
34780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341681,,,,,,,,,,,,,,,,,,,,,,,,,
34779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279832,,269480,,,,,
34778,,,,,,,,,,,,258656,,217082,,331181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144089,,,,,,,,,,,,,,,,,,,,,,,,
34776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132398,,,,,,,,,,,,,,,,,,,,,,,
34774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94075.5,,,,,,,,,,,,,,,,151601,,,,,,
34766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122914,,,,,,,,,,,,,,,,,,,,,
34765,,,,,,,,,,,,,,,274256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142112,
34762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81675
34761,,,,,,,,,,,,,,,,291413,,213186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113186,125503,,,
34760,,,,,,,,,,,,,,,,,146256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158288,,
34754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127160,,,,76587.6,,,,,,,,,,,,,,,,,,,,
34748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198305,,,,,98349.3,,,,,,,,,,,,,,,,,,,,,,
34738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549648,,,,,,,,,,,,,,,,,
34735,,,,,,,,,,,,,,,,,,,,,120068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262287,,,,,,,,,,,,,,,,,,
34721,,,,,,,,,,,,,,,,,,,,,,,,,674688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34717,,,,677921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34714,,,,,,,,,,,,,,,,,,,,,114063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135347,,,,
34713,,,,,,,,,,,,,151699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278581,,,,,,,,,,,
34710,,,,,,,,,,,,,,,258906,,,,,,,,,,,,,,,,,,,,,253596,,,,,,,,,,,,,,,,,,,,,,,,,,,
34709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259446,,,
34708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,259146,,201045,,,,,,,,,,,,,,,,,,,,,,,,,,
34707,,,,,,,,,,,,,,,,,,,119043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190232,,,,,,,,
34706,,,,,,,,,,,,,,,,233660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188272,,,,,,,,,,,,,,,,,192760,,
34704,,,,,,,,,,,,,,,,,145097,,,,,,,,657765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34703,,,,,,,,,,,,,,150911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34701,,,,,,,,,,,,,,,,,,232907,,,,,,,,,,,,,,,,,,,,,160757,,,,,,,,,,,,,,,,,,,,,,,,
34699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89016.9,
34687,,,,,,,,,,,,,,,,,,,,,,,,354912,,,,,,,,,,,,,,,,,,,,189403,,,,,,,,,,,,,,,,,,,
34686,,,,,,,,,,,,,,,,,,,,,,,,,692173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179382,,,,,,,,,,452583,,,,,,,,,,,,,,,,,,
34677,,,,658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34658,,,,,,,,,,,,,,,,,,,,,73099.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90913.2,
34655,,,,,,,,,,,,,,,,,,245837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73637.7,,,,,,,,,,,,,,,,,,,,
34638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141595,144920,,,,,,,,,,,,,,,,,,,,,
34636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220056,,
34635,,,,,,,,,,,,,,,,,,225673,171647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,383173,,140956,113536
34634,,,,,,,,,,,,,,,,366789,381637,,,134589,,,,,,,,,,,,,,,,,,,200755,,,,,,,,,,,,,,,,267321,,,,,,,,
34633,,,,,,,,,,,,,166719,,,,,,,,,,,,,,,,,,,,,,,,,231734,,,,,,,,,,,,,,,,,,,,,,,,,
34632,,,,,,,,,,435510,,,,508384,394948,,,,,,,,,,,,,,,,,,,,272421,,,,,,,,,,,,,,,,,,,,,130400,201401,,188497,,,,
34631,,,,,,,,,,,,,,,,,,,,,70546.9,73773.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342779,,,,,
34629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269964,,,,,,,,,,,,,,,,,,,,,,,,,,,
34626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34624,,,,,820332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34622,,,,,,,,,,,,,,,,,,,,,,,,,753874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351868,,,,,,,,,,,,,,,,,,
34618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177335,,
34613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461601,,,,,,,,250800,,,,,,,,,,,,,,,,,,,,,,,,,,
34611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150633,,,,
34610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255345,,,,,,,,
34601,,,,,,,,,,,,,,,,155869,,,,,,,,,850908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34595,,,,,,,,,,,,,,,,,,161959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34594,,,446175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34591,,,,,,,,,,,,,,,220618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34581,,,,,,,,,,,,,,,,,,,,,,,,,686032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34580,,226252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
