"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
35266,0,0,"","HILIC",NA,NA,334085.666666667,NA,NA,35266,NA,NA,18
35269,0,0,"","HILIC",NA,NA,448912.333333333,NA,NA,35269,NA,NA,19
35297,0,0,"","HILIC",NA,NA,477381.333333333,NA,NA,35297,NA,NA,20
35300,0,0,"","HILIC",NA,NA,681926,NA,NA,35300,NA,NA,19
35330,0,0,"","CE",NA,371641.333333333,NA,NA,35330,NA,NA,15,NA
35372,0,0,"","HILIC",NA,NA,449512.666666667,NA,NA,35372,NA,NA,20
35516,0,0,"","HILIC",NA,NA,958981,NA,NA,35516,NA,NA,20
35576,0,0,"","C2",2522083.33333333,NA,NA,35576,NA,NA,12,NA,NA
35581,0,0,"","CE",NA,315163.333333333,NA,NA,35581,NA,NA,12,NA
35807,0,0,"","HILIC",NA,NA,752355.666666667,NA,NA,35807,NA,NA,20
35818,0,0,"","CE",NA,576821.333333333,NA,NA,35818,NA,NA,7,NA
35972,0,0,"","CE",NA,221761.033333333,NA,NA,35972,NA,NA,19,NA
