"Mass","ReconstMass","ReconstAbund","ReconstAnnotation","Methods","Abundance_C2","Abundance_CE","Abundance_HILIC","Mass_original_C2","Mass_original_CE","Mass_original_HILIC","RT_C2","RT_CE","RT_HILIC"
26081,0,0,"","HILIC",NA,NA,355342,NA,NA,26081,NA,NA,19
26167,0,0,"","HILIC",NA,NA,288230.5,NA,NA,26167,NA,NA,12
26242,0,0,"","HILIC",NA,NA,372534,NA,NA,26242,NA,NA,6
26366,0,0,"","HILIC",NA,NA,313450.5,NA,NA,26366,NA,NA,20
26371,0,0,"","HILIC",NA,NA,472767.5,NA,NA,26371,NA,NA,1
26378,0,0,"","HILIC",NA,NA,444575.5,NA,NA,26378,NA,NA,4
26472,0,0,"","HILIC",NA,NA,624259.5,NA,NA,26472,NA,NA,19
26476,0,0,"","HILIC",NA,NA,356393.5,NA,NA,26476,NA,NA,18
26544,0,0,"","HILIC",NA,NA,324754.5,NA,NA,26544,NA,NA,12
26578,0,0,"","HILIC",NA,NA,344079.666666667,NA,NA,26578,NA,NA,19
26610,0,0,"","HILIC",NA,NA,348471.5,NA,NA,26610,NA,NA,11
26666,0,0,"","HILIC",NA,NA,260076.333333333,NA,NA,26666,NA,NA,12
26691,0,0,"","HILIC",NA,NA,435947.5,NA,NA,26691,NA,NA,5
26703,0,0,"","HILIC",NA,NA,305600.666666667,NA,NA,26703,NA,NA,20
26768,0,0,"","HILIC",NA,NA,312794.5,NA,NA,26768,NA,NA,14
26794,0,0,"","HILIC",NA,NA,502212.5,NA,NA,26794,NA,NA,5
26855,0,0,"","HILIC",NA,NA,549290.5,NA,NA,26855,NA,NA,7
26969,0,0,"","HILIC",NA,NA,318075.5,NA,NA,26969,NA,NA,19
27014,0,0,"","C2",1053916,NA,NA,27014,NA,NA,16,NA,NA
27021,0,0,"","C2",3858735,NA,NA,27021,NA,NA,18,NA,NA
27046,0,0,"","HILIC",NA,NA,317287.5,NA,NA,27046,NA,NA,19
27079,0,0,"","CE",NA,356522.5,NA,NA,27079,NA,NA,8,NA
27085,0,0,"","C2",2972633.33333333,NA,NA,27085,NA,NA,16,NA,NA
27091,0,0,"","CE",NA,144111.75,NA,NA,27091,NA,NA,20,NA
27097,0,0,"","CE",NA,197805,NA,NA,27097,NA,NA,11,NA
27130,0,0,"","HILIC",NA,NA,252568.5,NA,NA,27130,NA,NA,10
27144,0,0,"","C2",1194477,NA,NA,27144,NA,NA,14,NA,NA
27154,0,0,"","C2",3966613,NA,NA,27154,NA,NA,4,NA,NA
27159,0,0,"","CE",NA,496532.5,NA,NA,27159,NA,NA,6,NA
27170,0,0,"","CE",NA,475259.5,NA,NA,27170,NA,NA,9,NA
27177,0,0,"","CE",NA,475535.5,NA,NA,27177,NA,NA,8,NA
27183,0,0,"","C2",871501.35,NA,NA,27183,NA,NA,2,NA,NA
27187,0,0,"","CE",NA,255802.6,NA,NA,27187,NA,NA,17,NA
27191,0,0,"","C2",2369050,NA,NA,27191,NA,NA,7,NA,NA
27217,0,0,"","C2",1351691.5,NA,NA,27217,NA,NA,1,NA,NA
27226,0,0,"","CE & HILIC",NA,228251.05,382933,NA,27227,27226,NA,8,1
27233,0,0,"","CE",NA,395598.7,NA,NA,27233,NA,NA,1,NA
27238,0,0,"","CE",NA,524722.5,NA,NA,27238,NA,NA,8,NA
27255,0,0,"","CE",NA,323784.5,NA,NA,27255,NA,NA,9,NA
27266,0,0,"","CE",NA,85125.15,NA,NA,27266,NA,NA,17,NA
27293,0,0,"","C2",533435.5,NA,NA,27293,NA,NA,1,NA,NA
27309,0,0,"","CE",NA,192453,NA,NA,27309,NA,NA,13,NA
27313,0,0,"","C2",1708017,NA,NA,27313,NA,NA,11,NA,NA
27321,0,0,"","C2",997334.5,NA,NA,27321,NA,NA,2,NA,NA
27335,0,0,"","CE & HILIC",NA,263785.5,427066,NA,27334,27336,NA,6,4
27343,0,0,"","HILIC",NA,NA,374192.5,NA,NA,27343,NA,NA,8
27358,0,0,"","HILIC",NA,NA,264078,NA,NA,27358,NA,NA,11
27370,0,0,"","C2",1900169.33333333,NA,NA,27370,NA,NA,10,NA,NA
27377,0,0,"","HILIC",NA,NA,449713,NA,NA,27377,NA,NA,5
27381,0,0,"","C2",2814107,NA,NA,27381,NA,NA,6,NA,NA
27390,0,0,"","HILIC",NA,NA,410762,NA,NA,27390,NA,NA,19
27401,0,0,"","CE",NA,626749.333333333,NA,NA,27401,NA,NA,6,NA
27404,0,0,"","C2",3407968.5,NA,NA,27404,NA,NA,9,NA,NA
27417,0,0,"","C2",2594712,NA,NA,27417,NA,NA,5,NA,NA
27427,0,0,"","CE",NA,315838.45,NA,NA,27428,NA,NA,18,NA
27448,0,0,"","C2",4814100,NA,NA,27448,NA,NA,5,NA,NA
27470,0,0,"","C2",4050970,NA,NA,27470,NA,NA,11,NA,NA
27478,0,0,"","HILIC",NA,NA,755272,NA,NA,27478,NA,NA,5
27492,0,0,"","HILIC",NA,NA,246330,NA,NA,27492,NA,NA,16
27502,0,0,"","CE",NA,633602,NA,NA,27502,NA,NA,8,NA
27512,0,0,"","C2",1934506.75,NA,NA,27512,NA,NA,5,NA,NA
27517,0,0,"","HILIC",NA,NA,540081.5,NA,NA,27517,NA,NA,2
27528,0,0,"","CE",NA,261136,NA,NA,27528,NA,NA,8,NA
27532,0,0,"","CE",NA,159670.65,NA,NA,27532,NA,NA,11,NA
27541,0,0,"","C2 & CE",3806740,199113.6,NA,27542,27541,NA,6,12,NA
27567,0,0,"","C2",4135213.66666667,NA,NA,27567,NA,NA,3,NA,NA
27590,0,0,"","C2 & CE & HILIC",1515511.66666667,138621,354185,27592,27590,27590,10,19,14
27595,0,0,"","C2 & HILIC",2542348.5,NA,327582,27595,NA,27596,4,NA,20
27625,0,0,"","CE",NA,248644.9,NA,NA,27625,NA,NA,15,NA
27649,0,0,"","HILIC",NA,NA,546008,NA,NA,27649,NA,NA,5
27665,0,0,"","CE",NA,239034.333333333,NA,NA,27665,NA,NA,16,NA
27675,0,0,"","C2",3991060,NA,NA,27675,NA,NA,11,NA,NA
27680,0,0,"","C2",4152530.15,NA,NA,27680,NA,NA,7,NA,NA
27693,0,0,"","CE & HILIC",NA,98095.4,588841,NA,27694,27692,NA,20,6
27699,0,0,"","C2",3905915,NA,NA,27699,NA,NA,17,NA,NA
