,Sample name,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210305_C2_70min_RayWT_lowMS1_redo_1,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210306_C2_80min_RayWT_lowMS1_2,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3,20210308_C2_80min_RayWT_lowMS1_3
,Peak #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
Name,
35112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,805904,,,,,,,,,,,,,,,
35108,,,,,,,,,,,,,,,,,,,,,,,,,,,,6437980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35095,,,,4064720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4819710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79763.1,,,,,,,,,,,,,,,,,,
35085,,,,,,,,,,,,,2901390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241372,,,,
35078,,,,,,,,,,,,,,,,,,,,,,,,4948350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1549260,,,,,,,,
35074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485650,,,,,3447320,,,,,,,,,,,,,,,,,,,,,,,
35073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295769,,,,,
35072,,,,,,,,,,,,5131170,,,,,,,,,,,,,,,,,,,,,,,,,3965060,,,,,,,,,,,,,,,,,,,,,,,,
35070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3923890,,,,,,,,,,,,,,,,,,5927920,,,,,,,
35069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6469780,8138220,,,,,,,,,,,,,,,,,,,,,,,,,,
35065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375152,,,,,,,,,,,,,,,,
35055,,,,,,,4510950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35050,,,,,,,,,,,,,2519880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313885,,
35049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961138,,,,,,
35048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95317.6,,,,,,,,,,,,,,,,,,
35047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643312,,,,,
35043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629790,,,,,,,,,,,,,,,,,,,,,
35041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257001,,,,
35036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237590,,,,,,,,,,,,,,,,,,,,
35026,,,,,,,,,,,,,,,,,,,,,,,,,4062460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35022,,,,,,,,,,,,,,,,1603270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35012,,,,,,,,,,,,,,,,,,,,,,,,,,,7964660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315621,,,,,,,,,,,,,,,,,
35007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1387130,,,,,,,,,,,,,,,,,,,,,,,,,
35003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506840,,,,,,,,,,,,,,,,,,,,,,,
35001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,512112,,,,,
34999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3280590,,,,,,,,,,,,,,,,,,,,,,,,
34989,,,,,,,,,,,,,,,,,,,,,,822272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2896940,,,,,,,,,,,,,,,,,,,,,,,,,,,
34974,,,,,,,,,,,,,,,,,,,,,,,1526080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1326580,,,,,,,,,,,,,,,,,,1191500,,,,,,,
34965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2861440,,,,,,,,,,,,,,,,,,,,,,,,,,
34962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1908750,,,,,,,,,,,,,,,,,,,,,,,,
34955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197919,,,,,,,,,,,,,,,,,
34951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129050,,,,,,,,,,,,,,,,,,
34945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395370,,,,,,,,,,,,,,,,,,,,,
34943,,,,,,,3300800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342585,,
34931,,,,,,,,,,,,,,,,,1494870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385720,,,,,,,,,,,,,,,,,,,,
34929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2519050,,,,,,,,,,,,,,,,,,,,,,
34925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8480350,,,,,,,,,,,,,,,,2916430,,,,,,,,
34924,,,,,,,,,,,5923900,,,,,,,,,,,,,,,,,,,,,,,,20455400,16951700,,,,2351390,,,,,,,,,,,,,,,1830700,,,,,,
34923,,,,,,,,,,,,11929900,,,,,,,,,,,,,,,,,,,,,5824610,13515900,,,,,,,,,,,,,,,,,,,,8274650,,,,,,,
34922,,,,,,,,,,,,,4366930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34921,,,,,,,,,,5170260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4389980,,,,,,,,,,,,,,,,,,,,,,,
34912,,,,,,,,,,,,,,,,,,1777350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3968120,,,,,,,,,,,,,,,,,,,,,,,,
34903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1160060,,,253889,,,
34893,,,2309240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1093810,,,,,,,,
34864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231987,,,,,,,,,,,,,,,482533,,
34856,,,,,,,3481260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2536170,,,,,
34849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600100,2891150,,,,,,,,,,,,,,,,621943,,,,,,
34848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1414310,,,,
34841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280354,,,
34834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1378990,,,,,,,,,,,,,,,,,,,,
34823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000390,,,,,,,,
34819,,,,,,,,,,,,,,,,,,,,,,,2445410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430863,,,,,,,,,,,,,,321114,,
34811,,,,,,,,,,,,,,,,,1497860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34808,,,,,6136710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100400,,,,,,,,,,,,,,,,,,
34792,,,,,,,,,,,,,,,,,,,,,,816482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34782,,,,,,,,,,,,,,,,,,,,,,,,,3723160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2801130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3327400,,,,,,,,
34772,,,,,,,,,,,6077950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1416480,,,,,,,,,,,,,,
34767,,,,,,,,4208210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2604340,,,,,,,,,,,,,,,,,,,,,,,,,,
34760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9333170,,,,,,,,,,,,,,,,,,,,,,,,,
34759,,690432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7926080,,,,,,,189348,,,,,,,,,,4480780,,,,,,,
34757,,,,,,,,,,,,7729970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34756,,,,,,,,,,,,,3528020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1486550,,,,,,
34754,,,,,,,,,,,,,,,,,1408810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649209,,,,,
34733,,,,,,,,4129820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34729,,,,,,,,,,,,,3334390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34716,,1339180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34714,,,,,,,,,,,,,,,,,1602670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34711,,,,,,,,,,,,,,,,,,,,,,,,,3815170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926781,,,,,,,,,,,,,264609,,
34709,,,4333790,,,,,,,,,,,,,,,,,,,,,2264230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3058090,,9147750,3212140,,2918810,,,,,,,,,,,,,,,,1084260,,,,,,
34707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4636750,,,,,,,
34706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6645080,,,3380190,,,,,,,,,,,,,,,,,,,,,,,
34704,,,,,,,,,,,,3720610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402082,,,
34702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,305528,,,,
34690,,,,,,,5236470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34685,,,,,,,,,,,,,,,,,,,,,,1631240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3732660,,,,,,,,,,,,,,,,,,,,,,,
34677,,,,,,4286140,,,,,,,,,,,,,,,,,,,,,,,,,,,2573190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34676,,,,,,,,,,,,,,,,,,,,,,,,,,4435090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34669,,,,,,,,,,,,,,,,,,,,,,,,,,,,5368290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459628,,,,
34640,,,,,,4638190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34639,,,,,,,3970870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4085930,,6365950,,,,,,,,,,,,,,,,,,,,,,,,
34637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1071300,,,,,
34635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357150,,,,,,,,,,,,,,,,,255163,,,
34634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7710580,,,,,,,,,,,,,,,,,,,,,,,
34632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4873390,,2925180,,,,,,,,,,,,,,,,,,,,,,,,,
34630,,,,,,,,,,,,4695850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,445654,
34625,,,,,,,,,,,,,,,,,,,,,,1600400,,,,,,,,,,,3349340,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34615,,,,,,,,,,,6460900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865280,,,,,,,,
34613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5595810,5544550,,,,,,,,,,,,,,,,,,,,,,,,,,
34606,,,,,,,,,,,,,,,,,2345720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34603,,,,,,,,,,,,,,,,,,,,,,,1954400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098670,,,,,,,
34602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985150,,,,,,,,,,,,,,,,,,,,,,,,,
34595,,,3468440,3172650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34565,,,,,,,,,,,,,,,,,,,,,1883620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34560,,,,,,,,,,,,,,,,1541350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34559,,,,,,,,,,,11449200,,,,,,2932770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34558,,,,,,,,,,,,,12113200,,,,,,,,,,,,,,,,,,,,,,44310200,47787700,27758300,9803810,4567720,1743070,,,,,,,,,,,,,6177300,24029100,8890960,1286900,340789,304430,,,
34557,,,,,,,,,,,,55168400,,,,,,,,,,,,,,,,,,,,,,11535200,,,,,,,,,,,,,,,,,,,,,,,,,,,
34556,,,,,,,,,,3821410,,,,5873030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954190,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384476,,,,,,,,,,,,,,,,
34536,,,2467710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34535,,,,,,,,,,,,,,,2260630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639851,,,,,
34529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205246,,,,,,,,,,,,,,,,,
34520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99752.4,,,,,,,,,,,,,,,,,,
34515,,,,,3118600,,,7572580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34508,,,,,,,,,,,,,,,,,1908890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34506,,,,,,,,,,,,,,,1709690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285501,,,
34503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229788,,,,,,,,,,,,,,,,,
34501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57137.3,,,,,,,,,,,,,,,,,,,
34498,,,,,,,,,,,,,,,,,,,,,2263730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211675
34496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495253,,,,,,,,,,,,,,,,
34493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295848,,,,
34492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971780,,,,,,,,,,,,,,,,,,,,,,,,,
34484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1269440,,,,,,,,,,,,,,,,,,,,
34482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150913,,,,,,,,,,,,,,,,,,
34478,,,,,,,,,,,,,,,,,1336400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34476,,,,,,,,,,,,,,,,,,,,,,1175840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34471,,,,,,,,,,,5634820,,,,,,,,,,,,,,,,,,,,,,,,,3848240,,,,,,,,,,,,,,,,,,,,,,,,,
34470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2437730,,,,,,,
34468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10745000,,,,,,,,,,,,,,,,,,,,,,,,,,,
34467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976100,,,,,,,,,,,,,,,,,,5627390,,,,,,,,
34465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7924420,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34464,,,,,,,,,,,,,,,1683580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34447,,,,,,,,,,,,,,,,,,,,,,,,3138790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121219,,,,,,,,,,,,,,,,,,
34439,,,,,,,,,,,,,,,,,,,,,,1444380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396449
34425,,,,,,,,,,,,,,2087540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450133,,,,,,
34420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5798390,3472670,,,,,,123125,,,,,,,,,,,,,,,,258890,,
34419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426920,,,,,,,,,,,,,,,,,,,,
34418,,,,,,,,,,,,4929450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34415,,,,,,,,,,,,,,,,,,,,,,,,4055300,,,,,,,,6795330,,,3621500,,,,,,,,,,,,,,,,,,,2998030,,,,,,,
34413,,,,,,,,,,8955600,16494100,,,,,,,,,,,,,,,,,,,,,,23121100,17994700,,,,,,,,,,,,,,,,,,,11432200,,,,,,,,
34404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227638,,,,
34402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180050,,,,,,,,,,,,,,,,,
34394,,1242280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525610,,,,,,,
34393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606944,,,,,,
34391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9469100,7039970,,,,,,,,,,,,,,,,,,,,,,,,
34389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3238320,,,,,,,,,,,,,,,,,,,,,,,
34379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190238,,,,,,,,,,,,,,,,,
34364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298564,,,,,
34358,,,,,,,,,,,,,,,,,,,,,,,1845360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4279940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1653090,,,,,,,,,,,,,,,,,,,,,,,
34348,,,,,,,,,,,,2692640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226493,
34345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80447.7,,,,,,,,,,1648390,1702600,,,,,,,
34344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810040,,,,,,,,,,,,,,,,,,,,,,,,,
34343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240740,,,,,,,,,,,,,,,,,,,,,1131810,,,,,,
34342,,,,,,,,,,,,,,,,2027160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34341,,,2166210,,,,,,,3239820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615557,,,,,,,,,,,,,,,,
